rank,group_id,group_label,group_size,group_members,n_dates,mean_delta_IC,nw_lag,nw_se,nw_t,nw_p_two_sided,bootstrap_ci_lo,bootstrap_ci_hi,bh_fdr_rejected,bh_fdr_p_adj
1,4,hc_mom12m,1,hc_mom12m,313,0.007899210240337842,5,0.007789941959076974,1.0140268415136966,0.3105699445910144,-0.014381764362100351,0.030077917983089834,False,0.6466064031190184
2,47,ROC30+5,6,"ROC30,MA60,MAX60,MIN60,QTLU60,QTLD60",313,0.004323013432987086,5,0.0015168267586926397,2.8500376909971656,0.004371404854792038,9.833018850625054e-05,0.008668706674918522,False,0.13332784807115716
3,57,CNTP60+1,2,"CNTP60,CNTD60",313,0.0033809112326066526,5,0.0019351396092210456,1.7471148936730077,0.08061741040632842,-0.0018334398403267646,0.008373548104045375,False,0.5038738215263513
4,7,KMID+6,7,"KMID,KMID2,KSFT,KSFT2,OPEN0,HIGH0,VWAP0",313,0.003372246954024442,5,0.0021148657859591754,1.5945441911317293,0.11081420115195173,-0.0024161479023575147,0.009825893205745442,False,0.519974328482235
5,53,RESI60,1,RESI60,313,0.003350047992967908,5,0.0016880949917468416,1.9845139102635905,0.04719857894592705,-0.0012302930291911895,0.008124823960118113,False,0.5038738215263513
6,35,BETA20+8,9,"BETA20,RANK20,RSV20,IMAX20,IMXD20,SUMP20,SUMD20,RANK30,RSV30",313,0.0026512028981200073,5,0.002149734284125366,1.2332700453715224,0.21747502974218835,-0.002592405477433904,0.009839477553535009,False,0.6194943427833727
7,21,CNTP5+5,6,"CNTP5,CNTN5,CNTD5,CNTP10,CNTN10,CNTD10",313,0.0024592011591297613,5,0.0021977826279477846,1.1189464908211058,0.2631629675695861,-0.003091794910574209,0.008370107203678291,False,0.6421176408697902
8,50,ROC60+3,4,"ROC60,IMIN60,CNTN60,SUMN60",313,0.00244480335311434,5,0.0019850706232829437,1.2315951505398244,0.21810035336298172,-0.002423420366862224,0.009613949741434053,False,0.6194943427833727
9,45,WVMA20+1,2,"WVMA20,WVMA30",313,0.002425586757394966,5,0.0010011367265454635,2.4228326591960423,0.015400018765613366,-0.0008652976695635618,0.0051887461667665,False,0.3131337149008051
10,9,KUP+1,2,"KUP,KUP2",313,0.002306918099719302,5,0.0016248626085783413,1.4197619463578641,0.1556769969100511,-0.0030082607031375924,0.006912626042301726,False,0.6194943427833727
11,54,RANK60+2,3,"RANK60,RSV60,IMAX60",313,0.0020564525042756922,5,0.002555755163431561,0.8046359579743683,0.42102978574647,-0.004172402899855993,0.009753271457097545,False,0.7553769685451374
