group_id,group_label,group_size,n_alpha158_members,plan_aaa_orig_rank,plan_aaa_orig_mean_delta_ic,proxy_group_abs_ic_raw_leaky,proxy_group_abs_ic_t1_shifted,proxy_ic_drop_abs,leak_affected,proxy_rank_raw,proxy_rank_t1
4,hc_mom12m,1,0,1,0.0078992102403378,,,,False,58,58
47,ROC30+5,6,6,2,0.004323013432987,0.042036,0.04244,-0.000403,True,7,8
57,CNTP60+1,2,2,3,0.0033809112326066,0.012684,0.012647,3.7e-05,True,31,33
7,KMID+6,7,7,4,0.0033722469540244,0.035343,0.032509,0.002834,True,11,13
53,RESI60,1,1,5,0.0033500479929679,0.02291,0.029558,-0.006648,True,19,16
35,BETA20+8,9,9,6,0.00265120289812,0.019118,0.02262,-0.003502,True,21,19
21,CNTP5+5,6,6,7,0.0024592011591297,0.006662,0.009215,-0.002553,True,42,37
50,ROC60+3,4,4,8,0.0024448033531143,0.017393,0.01667,0.000723,True,25,27
45,WVMA20+1,2,2,9,0.0024255867573949,0.02621,0.026921,-0.000711,True,17,17
9,KUP+1,2,2,10,0.0023069180997193,0.045769,0.045646,0.000123,True,5,6
54,RANK60+2,3,3,11,0.0020564525042756,0.017536,0.018544,-0.001008,True,24,23
41,CNTP20+3,4,4,12,0.0017232346075256,0.028968,0.030034,-0.001065,True,15,15
2,hc_ret_std_5d+1,2,0,13,0.0015042895011512,,,,False,58,58
36,RSQR20,1,1,14,0.0012732658630093,0.011172,0.011618,-0.000446,True,35,35
55,CORR60,1,1,15,0.0010681291393787,0.036905,0.037856,-0.000951,True,10,9
18,MIN5+3,4,4,16,0.0008336234487146,0.018993,0.023834,-0.00484,True,22,18
42,CNTN20+1,2,2,17,0.0007779143857391,0.029753,0.030657,-0.000904,True,14,14
25,RSQR10,1,1,18,0.0007762503628478,0.008784,0.007888,0.000896,True,37,39
17,MAX5+5,6,6,19,0.0006906936896468,0.026464,0.022578,0.003887,True,16,20
29,VSTD10,1,1,20,0.0006733993772499,0.002929,0.002214,0.000715,True,52,54
43,VMA20+3,4,4,21,0.0005799751025892,0.017055,0.018399,-0.001343,True,26,24
51,STD60+1,2,2,22,0.0005538751617001,0.082937,0.080971,0.001966,True,1,1
58,WVMA60,1,1,23,0.0005368056312714,0.037761,0.037774,-1.3e-05,True,9,10
5,hc_dolvol,1,0,24,0.0004887886438294,,,,False,58,58
11,LOW0,1,1,25,0.0004204184623144,0.003365,0.002887,0.000478,True,51,50
26,IMAX10+1,2,2,26,0.000365061223008,0.00207,0.002608,-0.000538,True,54,52
39,CORR20+1,2,2,27,0.0002765408391953,0.007266,0.007141,0.000125,True,41,42
8,KLEN,1,1,28,0.0002616256826958,0.050643,0.04941,0.001233,True,4,4
