feature,feature_idx,ic_raw_leaky,ic_raw_n_days,ic_t1_shifted,ic_t1_n_days,abs_ic_raw,abs_ic_t1,ic_drop_abs
KMID,0,-0.023166,313,-0.018865,313,0.023166,0.018865,0.004301
KLEN,1,0.050643,313,0.04941,313,0.050643,0.04941,0.001232
KMID2,2,-0.034646,313,-0.030965,313,0.034646,0.030965,0.003681
KUP,3,0.051841,313,0.051516,313,0.051841,0.051516,0.000325
KUP2,4,0.039697,313,0.039777,313,0.039697,0.039777,-8e-05
KLOW,5,0.015346,313,0.011608,313,0.015346,0.011608,0.003739
KLOW2,6,-0.014337,313,-0.017374,313,0.014337,0.017374,-0.003036
KSFT,7,-0.032447,313,-0.03012,313,0.032447,0.03012,0.002328
KSFT2,8,-0.046404,313,-0.045345,313,0.046404,0.045345,0.001059
OPEN0,9,0.022167,313,0.017803,313,0.022167,0.017803,0.004364
HIGH0,10,0.057041,313,0.055314,313,0.057041,0.055314,0.001727
LOW0,11,0.003365,313,0.002887,313,0.003365,0.002887,0.000478
VWAP0,12,0.031532,313,0.029154,313,0.031532,0.029154,0.002377
ROC5,13,-0.00136,313,-0.002984,313,0.00136,0.002984,-0.001624
MA5,14,0.005854,313,-0.001141,313,0.005854,0.001141,0.004713
STD5,15,0.057744,313,0.055912,313,0.057744,0.055912,0.001833
BETA5,16,-0.003408,313,0.001757,313,0.003408,0.001757,0.001651
RSQR5,17,0.002608,313,0.001823,313,0.002608,0.001823,0.000785
RESI5,18,-0.0081,313,-0.00706,313,0.0081,0.00706,0.00104
MAX5,19,0.051207,313,0.046463,313,0.051207,0.046463,0.004744
MIN5,20,-0.023405,313,-0.026477,313,0.023405,0.026477,-0.003072
QTLU5,21,0.020314,313,0.014822,313,0.020314,0.014822,0.005492
QTLD5,22,-0.008151,313,-0.01502,313,0.008151,0.01502,-0.006869
RANK5,23,-0.006866,313,-0.000908,313,0.006866,0.000908,0.005957
RSV5,24,-0.03092,313,-0.026388,313,0.03092,0.026388,0.004532
IMAX5,25,-0.00713,313,-0.003372,313,0.00713,0.003372,0.003758
