feature,idx,source,n_eligible,n_window,coverage,ic_mean,abs_ic_mean,ic_daily_sd,scored_tau,exclusion_reason
hc_ret_mean_5d,0,"hc(part_a, T-1 by construction)",231,231,1.0,0.005886,0.005886,0.172353,True,
hc_ret_mean_10d,1,"hc(part_a, T-1 by construction)",231,231,1.0,0.01293,0.01293,0.162909,True,
hc_ret_mean_21d,2,"hc(part_a, T-1 by construction)",231,231,1.0,0.025384,0.025384,0.165241,True,
hc_ret_std_5d,3,"hc(part_a, T-1 by construction)",231,231,1.0,-0.053754,0.053754,0.174234,True,
hc_ret_std_10d,4,"hc(part_a, T-1 by construction)",231,231,1.0,-0.053923,0.053923,0.19074,True,
hc_ret_std_21d,5,"hc(part_a, T-1 by construction)",231,231,1.0,-0.061634,0.061634,0.200038,True,
hc_mom12m,6,"hc(part_a, T-1 by construction)",85,231,0.368,0.069431,0.069431,0.083736,False,coverage < 0.5
hc_maxret,7,"hc(part_a, T-1 by construction)",231,231,1.0,-0.041398,0.041398,0.162716,True,
hc_dolvol,8,"hc(part_a, T-1 by construction)",231,231,1.0,-0.052331,0.052331,0.078343,True,
hc_CORR5,9,"hc(part_a, T-1 by construction)",231,231,1.0,0.00836,0.00836,0.094256,True,
KMID,10,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.002444,0.002444,0.166221,True,
KLEN,11,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.041743,0.041743,0.152576,True,
KMID2,12,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.016926,0.016926,0.155979,True,
KUP,13,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.03202,0.03202,0.137454,True,
KUP2,14,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.02339,0.02339,0.12663,True,
KLOW,15,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.008755,0.008755,0.136124,True,
KLOW2,16,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.031266,0.031266,0.127498,True,
KSFT,17,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.016662,0.016662,0.150573,True,
KSFT2,18,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.035715,0.035715,0.144048,True,
OPEN0,19,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.000183,0.000183,0.165555,True,
HIGH0,20,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.036134,0.036134,0.15266,True,
LOW0,21,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.002836,0.002836,0.136979,True,
VWAP0,22,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.014008,0.014008,0.149419,True,
ROC5,23,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.007233,0.007233,0.172224,True,
MA5,24,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.002063,0.002063,0.167974,True,
STD5,25,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.048633,0.048633,0.160796,True,
BETA5,26,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.005167,0.005167,0.167583,True,
RSQR5,27,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.011251,0.011251,0.10448,True,
RESI5,28,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.008865,0.008865,0.173964,True,
MAX5,29,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.044452,0.044452,0.157557,True,
MIN5,30,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.013838,0.013838,0.152908,True,
QTLU5,31,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.016939,0.016939,0.163574,True,
QTLD5,32,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.014465,0.014465,0.164382,True,
RANK5,33,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.012175,0.012175,0.141726,True,
RSV5,34,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.039631,0.039631,0.144317,True,
IMAX5,35,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.020119,0.020119,0.13129,True,
IMIN5,36,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.018594,0.018594,0.134184,True,
IMXD5,37,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.023134,0.023134,0.138768,True,
CORR5,38,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.00836,0.00836,0.094256,True,
CORD5,39,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.012703,0.012703,0.10744,True,
CNTP5,40,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.029282,0.029282,0.115716,True,
CNTN5,41,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.028015,0.028015,0.117653,True,
CNTD5,42,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.028519,0.028519,0.117029,True,
SUMP5,43,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.024508,0.024508,0.151898,True,
SUMN5,44,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.024646,0.024646,0.152205,True,
SUMD5,45,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.024556,0.024556,0.152086,True,
VMA5,46,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.002878,0.002878,0.068111,True,
VSTD5,47,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.003195,0.003195,0.065209,True,
WVMA5,48,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.007748,0.007748,0.06541,True,
VSUMP5,49,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.001368,0.001368,0.07339,True,
VSUMN5,50,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.001602,0.001602,0.073186,True,
VSUMD5,51,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.00146,0.00146,0.073287,True,
ROC10,52,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.014629,0.014629,0.162345,True,
MA10,53,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.006284,0.006284,0.167341,True,
STD10,54,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.045277,0.045277,0.15964,True,
BETA10,55,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.014967,0.014967,0.162851,True,
RSQR10,56,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.008075,0.008075,0.096272,True,
RESI10,57,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.007895,0.007895,0.168197,True,
MAX10,58,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.044572,0.044572,0.156033,True,
MIN10,59,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.007489,0.007489,0.15918,True,
QTLU10,60,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.021665,0.021665,0.15975,True,
QTLD10,61,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.003095,0.003095,0.169927,True,
RANK10,62,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.022746,0.022746,0.148155,True,
RSV10,63,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.042113,0.042113,0.145693,True,
IMAX10,64,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.028336,0.028336,0.13133,True,
IMIN10,65,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.031502,0.031502,0.125592,True,
IMXD10,66,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.032553,0.032553,0.133438,True,
CORR10,67,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.013092,0.013092,0.107458,True,
CORD10,68,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.017047,0.017047,0.114322,True,
CNTP10,69,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.038116,0.038116,0.113153,True,
CNTN10,70,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.036646,0.036646,0.117522,True,
CNTD10,71,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.037041,0.037041,0.115928,True,
SUMP10,72,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.032791,0.032791,0.150107,True,
SUMN10,73,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.032905,0.032905,0.15031,True,
SUMD10,74,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.032906,0.032906,0.150269,True,
VMA10,75,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.000468,0.000468,0.067539,True,
VSTD10,76,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.000308,0.000308,0.060739,True,
WVMA10,77,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.017674,0.017674,0.072417,True,
VSUMP10,78,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.002187,0.002187,0.06734,True,
VSUMN10,79,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.002072,0.002072,0.067188,True,
VSUMD10,80,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.00219,0.00219,0.067298,True,
ROC20,81,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.029097,0.029097,0.168786,True,
MA20,82,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.019273,0.019273,0.161394,True,
STD20,83,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.036495,0.036495,0.148162,True,
BETA20,84,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.028296,0.028296,0.174811,True,
RSQR20,85,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.006855,0.006855,0.124906,True,
RESI20,86,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.010602,0.010602,0.176572,True,
MAX20,87,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.050753,0.050753,0.163039,True,
MIN20,88,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.001147,0.001147,0.151706,True,
QTLU20,89,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.029977,0.029977,0.161063,True,
QTLD20,90,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.006519,0.006519,0.162032,True,
RANK20,91,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.030056,0.030056,0.151205,True,
RSV20,92,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.048728,0.048728,0.148702,True,
IMAX20,93,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.032343,0.032343,0.143994,True,
IMIN20,94,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.041818,0.041818,0.137602,True,
IMXD20,95,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.038007,0.038007,0.154443,True,
CORR20,96,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.007445,0.007445,0.118317,True,
CORD20,97,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.01034,0.01034,0.112848,True,
CNTP20,98,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.048151,0.048151,0.137766,True,
CNTN20,99,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.047936,0.047936,0.14151,True,
CNTD20,100,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.047577,0.047577,0.14009,True,
SUMP20,101,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.044626,0.044626,0.167968,True,
SUMN20,102,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.044535,0.044535,0.168052,True,
SUMD20,103,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.044679,0.044679,0.168087,True,
VMA20,104,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.000108,0.000108,0.067702,True,
VSTD20,105,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.00643,0.00643,0.059555,True,
WVMA20,106,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.004688,0.004688,0.073605,True,
VSUMP20,107,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.000576,0.000576,0.071609,True,
VSUMN20,108,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.000485,0.000485,0.071689,True,
VSUMD20,109,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.000493,0.000493,0.071597,True,
ROC30,110,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.016387,0.016387,0.16783,True,
MA30,111,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.023882,0.023882,0.16108,True,
STD30,112,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.032351,0.032351,0.138217,True,
BETA30,113,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.02261,0.02261,0.174045,True,
RSQR30,114,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.014439,0.014439,0.108848,True,
RESI30,115,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.000652,0.000652,0.168339,True,
MAX30,116,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.052771,0.052771,0.167243,True,
MIN30,117,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.005657,0.005657,0.156192,True,
QTLU30,118,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.032767,0.032767,0.163321,True,
QTLD30,119,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.007403,0.007403,0.159949,True,
RANK30,120,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.031675,0.031675,0.158167,True,
RSV30,121,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.047287,0.047287,0.155884,True,
IMAX30,122,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.026425,0.026425,0.149389,True,
IMIN30,123,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.024407,0.024407,0.147092,True,
IMXD30,124,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.024037,0.024037,0.165395,True,
CORR30,125,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.01288,0.01288,0.104294,True,
CORD30,126,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.009881,0.009881,0.112375,True,
CNTP30,127,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.029779,0.029779,0.143102,True,
CNTN30,128,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.029759,0.029759,0.146848,True,
CNTD30,129,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.02943,0.02943,0.145605,True,
SUMP30,130,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.024931,0.024931,0.169965,True,
SUMN30,131,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.024765,0.024765,0.170351,True,
SUMD30,132,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.025025,0.025025,0.170284,True,
VMA30,133,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.002592,0.002592,0.067252,True,
VSTD30,134,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.012903,0.012903,0.06334,True,
WVMA30,135,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.013988,0.013988,0.072543,True,
VSUMP30,136,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.001055,0.001055,0.06622,True,
VSUMN30,137,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.001223,0.001223,0.066454,True,
VSUMD30,138,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.001291,0.001291,0.066397,True,
ROC60,139,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.003891,0.003891,0.191883,True,
MA60,140,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.003906,0.003906,0.177859,True,
STD60,141,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.050163,0.050163,0.159065,True,
BETA60,142,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.026646,0.026646,0.200551,True,
RSQR60,143,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.006034,0.006034,0.13309,True,
RESI60,144,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.031983,0.031983,0.182728,True,
MAX60,145,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.03675,0.03675,0.176806,True,
MIN60,146,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.026594,0.026594,0.157904,True,
QTLU60,147,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.018556,0.018556,0.176884,True,
QTLD60,148,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.013748,0.013748,0.172043,True,
RANK60,149,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.014784,0.014784,0.166371,True,
RSV60,150,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.026847,0.026847,0.164277,True,
IMAX60,151,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.003204,0.003204,0.166352,True,
IMIN60,152,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.011106,0.011106,0.157027,True,
IMXD60,153,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.008149,0.008149,0.179484,True,
CORR60,154,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.002063,0.002063,0.114755,True,
CORD60,155,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.029709,0.029709,0.103731,True,
CNTP60,156,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.008678,0.008678,0.177945,True,
CNTN60,157,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.010017,0.010017,0.175935,True,
CNTD60,158,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.010046,0.010046,0.178388,True,
SUMP60,159,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,0.006526,0.006526,0.180747,True,
SUMN60,160,"alpha158_raw shifted np.roll(1), row0=0",231,231,1.0,-0.006989,0.006989,0.180734,True,
