group_id,group_label,n_members,n_scored,n_unscored,n_missing_from_scoring,score_mean_abs_ic,members,member_abs_ic,rank,selected_top15
2,hc_ret_std_5d+1,2,2,0,0,0.053838,"hc_ret_std_5d,hc_ret_std_10d",hc_ret_std_5d=0.053754;hc_ret_std_10d=0.053923,1.0,True
5,hc_dolvol,1,1,0,0,0.052331,hc_dolvol,hc_dolvol=0.052331,2.0,True
3,hc_ret_std_21d+1,2,2,0,0,0.051516,"hc_ret_std_21d,hc_maxret",hc_ret_std_21d=0.061634;hc_maxret=0.041398,3.0,True
14,STD5+1,2,2,0,0,0.046955,"STD5,STD10",STD5=0.048633;STD10=0.045277,4.0,True
8,KLEN,1,1,0,0,0.041743,KLEN,KLEN=0.041743,5.0,True
38,MAX20+3,4,4,0,0,0.041567,"MAX20,QTLU20,MAX30,QTLU30",MAX20=0.050753;QTLU20=0.029977;MAX30=0.052771;QTLU30=0.032767,6.0,True
42,CNTN20+1,2,2,0,0,0.038848,"CNTN20,CNTN30",CNTN20=0.047936;CNTN30=0.029759,7.0,True
41,CNTP20+3,4,4,0,0,0.038734,"CNTP20,CNTD20,CNTP30,CNTD30",CNTP20=0.048151;CNTD20=0.047577;CNTP30=0.029779;CNTD30=0.029430,8.0,True
35,BETA20+8,9,9,0,0,0.038411,"BETA20,RANK20,RSV20,IMAX20,IMXD20,SUMP20,SUMD20,RANK30,RSV30",BETA20=0.028296;RANK20=0.030056;RSV20=0.048728;IMAX20=0.032343;IMXD20=0.038007;SUMP20=0.044626;SUMD20=0.044679;RANK30=0.031675;RSV30=0.047287,9.0,True
17,MAX5+5,6,6,0,0,0.035863,"MAX5,RSV5,MAX10,QTLU10,RANK10,RSV10",MAX5=0.044452;RSV5=0.039631;MAX10=0.044572;QTLU10=0.021665;RANK10=0.022746;RSV10=0.042113,10.0,True
34,STD20+1,2,2,0,0,0.034423,"STD20,STD30",STD20=0.036495;STD30=0.032351,11.0,True
58,WVMA60,1,1,0,0,0.033241,WVMA60,WVMA60=0.033241,12.0,True
21,CNTP5+5,6,6,0,0,0.032937,"CNTP5,CNTN5,CNTD5,CNTP10,CNTN10,CNTD10",CNTP5=0.029282;CNTN5=0.028015;CNTD5=0.028519;CNTP10=0.038116;CNTN10=0.036646;CNTD10=0.037041,13.0,True
32,ROC20+4,5,5,0,0,0.032924,"ROC20,IMIN20,SUMN20,IMIN30,SUMN30",ROC20=0.029097;IMIN20=0.041818;SUMN20=0.044535;IMIN30=0.024407;SUMN30=0.024765,14.0,True
53,RESI60,1,1,0,0,0.031983,RESI60,RESI60=0.031983,15.0,True
27,IMIN10,1,1,0,0,0.031502,IMIN10,IMIN10=0.031502,16.0,False
26,IMAX10+1,2,2,0,0,0.030444,"IMAX10,IMXD10",IMAX10=0.028336;IMXD10=0.032553,17.0,False
56,CORD60,1,1,0,0,0.029709,CORD60,CORD60=0.029709,18.0,False
51,STD60+1,2,2,0,0,0.028098,"STD60,RSQR60",STD60=0.050163;RSQR60=0.006034,19.0,False
9,KUP+1,2,2,0,0,0.027705,"KUP,KUP2",KUP=0.032020;KUP2=0.023390,20.0,False
1,hc_ret_mean_21d+5,6,6,0,0,0.024735,"hc_ret_mean_21d,BETA30,IMAX30,IMXD30,SUMP30,SUMD30",hc_ret_mean_21d=0.025384;BETA30=0.022610;IMAX30=0.026425;IMXD30=0.024037;SUMP30=0.024931;SUMD30=0.025025,21.0,False
19,IMAX5+1,2,2,0,0,0.021626,"IMAX5,IMXD5",IMAX5=0.020119;IMXD5=0.023134,22.0,False
0,hc_ret_mean_5d+6,7,7,0,0,0.021002,"hc_ret_mean_5d,hc_ret_mean_10d,ROC10,BETA10,SUMP10,SUMN10,SUMD10",hc_ret_mean_5d=0.005886;hc_ret_mean_10d=0.012930;ROC10=0.014629;BETA10=0.014967;SUMP10=0.032791;SUMN10=0.032905;SUMD10=0.032906,23.0,False
10,KLOW+1,2,2,0,0,0.020011,"KLOW,KLOW2",KLOW=0.008755;KLOW2=0.031266,24.0,False
47,ROC30+5,6,6,0,0,0.019323,"ROC30,MA60,MAX60,MIN60,QTLU60,QTLD60",ROC30=0.016387;MA60=0.003906;MAX60=0.036750;MIN60=0.026594;QTLU60=0.018556;QTLD60=0.013748,25.0,False
30,WVMA10,1,1,0,0,0.017674,WVMA10,WVMA10=0.017674,26.0,False
12,ROC5+5,6,6,0,0,0.017451,"ROC5,BETA5,IMIN5,SUMP5,SUMN5,SUMD5",ROC5=0.007233;BETA5=0.005167;IMIN5=0.018594;SUMP5=0.024508;SUMN5=0.024646;SUMD5=0.024556,27.0,False
7,KMID+6,7,7,0,0,0.017439,"KMID,KMID2,KSFT,KSFT2,OPEN0,HIGH0,VWAP0",KMID=0.002444;KMID2=0.016926;KSFT=0.016662;KSFT2=0.035715;OPEN0=0.000183;HIGH0=0.036134;VWAP0=0.014008,28.0,False
54,RANK60+2,3,3,0,0,0.014945,"RANK60,RSV60,IMAX60",RANK60=0.014784;RSV60=0.026847;IMAX60=0.003204,29.0,False
20,CORD5+1,2,2,0,0,0.014875,"CORD5,CORD10",CORD5=0.012703;CORD10=0.017047,30.0,False
48,RSQR30,1,1,0,0,0.014439,RSQR30,RSQR30=0.014439,31.0,False
28,CORR10,1,1,0,0,0.013092,CORR10,CORR10=0.013092,32.0,False
52,BETA60+3,4,4,0,0,0.012057,"BETA60,IMXD60,SUMP60,SUMD60",BETA60=0.026646;IMXD60=0.008149;SUMP60=0.006526;SUMD60=0.006908,33.0,False
43,VMA20+3,4,4,0,0,0.011805,"VMA20,VMA30,VMA60,VSTD60",VMA20=0.000108;VMA30=0.002592;VMA60=0.011470;VSTD60=0.033050,34.0,False
15,RSQR5,1,1,0,0,0.011251,RSQR5,RSQR5=0.011251,35.0,False
13,MA5+4,5,5,0,0,0.010707,"MA5,QTLU5,QTLD5,RANK5,RESI10",MA5=0.002063;QTLU5=0.016939;QTLD5=0.014465;RANK5=0.012175;RESI10=0.007895,36.0,False
33,MA20+5,6,6,0,0,0.010647,"MA20,MIN20,QTLD20,MA30,MIN30,QTLD30",MA20=0.019273;MIN20=0.001147;QTLD20=0.006519;MA30=0.023882;MIN30=0.005657;QTLD30=0.007403,37.0,False
60,VSUMN60+1,2,2,0,0,0.010477,"VSUMN60,VSUMD60",VSUMN60=0.010736;VSUMD60=0.010218,38.0,False
59,VSUMP60,1,1,0,0,0.010272,VSUMP60,VSUMP60=0.010272,39.0,False
39,CORR20+1,2,2,0,0,0.010163,"CORR20,CORR30",CORR20=0.007445;CORR30=0.012880,40.0,False
40,CORD20+1,2,2,0,0,0.01011,"CORD20,CORD30",CORD20=0.010340;CORD30=0.009881,41.0,False
44,VSTD20+1,2,2,0,0,0.009666,"VSTD20,VSTD30",VSTD20=0.006430;VSTD30=0.012903,42.0,False
57,CNTP60+1,2,2,0,0,0.009362,"CNTP60,CNTD60",CNTP60=0.008678;CNTD60=0.010046,43.0,False
45,WVMA20+1,2,2,0,0,0.009338,"WVMA20,WVMA30",WVMA20=0.004688;WVMA30=0.013988,44.0,False
16,RESI5,1,1,0,0,0.008865,RESI5,RESI5=0.008865,45.0,False
6,hc_CORR5+1,2,2,0,0,0.00836,"hc_CORR5,CORR5",hc_CORR5=0.008360;CORR5=0.008360,46.0,False
25,RSQR10,1,1,0,0,0.008075,RSQR10,RSQR10=0.008075,47.0,False
50,ROC60+3,4,4,0,0,0.008001,"ROC60,IMIN60,CNTN60,SUMN60",ROC60=0.003891;IMIN60=0.011106;CNTN60=0.010017;SUMN60=0.006989,48.0,False
24,WVMA5,1,1,0,0,0.007748,WVMA5,WVMA5=0.007748,49.0,False
18,MIN5+3,4,4,0,0,0.007677,"MIN5,MA10,MIN10,QTLD10",MIN5=0.013838;MA10=0.006284;MIN10=0.007489;QTLD10=0.003095,50.0,False
36,RSQR20,1,1,0,0,0.006855,RSQR20,RSQR20=0.006855,51.0,False
37,RESI20+1,2,2,0,0,0.005627,"RESI20,RESI30",RESI20=0.010602;RESI30=0.000652,52.0,False
23,VSTD5,1,1,0,0,0.003195,VSTD5,VSTD5=0.003195,53.0,False
11,LOW0,1,1,0,0,0.002836,LOW0,LOW0=0.002836,54.0,False
31,VSUMP10+2,3,3,0,0,0.00215,"VSUMP10,VSUMN10,VSUMD10",VSUMP10=0.002187;VSUMN10=0.002072;VSUMD10=0.002190,55.0,False
