universe,model,cost_bps,n_cells,Sharpe_net_mean,Sharpe_net_std,Sharpe_net_ci_lo,Sharpe_net_ci_hi
B,GAT,0,120,1.2070883333333333,2.953382130815288,0.6907285,1.7407599791666664
B,GAT,5,120,1.0529116666666667,2.941322132006709,0.5290080625000001,1.5861452708333323
B,GAT,10,120,0.8985774999999999,2.935860788134312,0.3806151458333333,1.4253782291666666
B,GAT,15,120,0.7439708333333334,2.937196401429555,0.2235602291666667,1.2662799374999998
B,GAT,20,120,0.5889408333333334,2.945705483503997,0.06561908333333334,1.1153940208333333
B,GAT,30,120,0.2769258333333334,2.9868123486080638,-0.2560906249999999,0.8052509374999993
B,SAGE-Mean,0,120,1.4123616666666667,2.7888811810257446,0.91944425,1.9294693541666668
B,SAGE-Mean,5,120,1.2606591666666667,2.7727962001341337,0.7714581875000001,1.7731607291666664
B,SAGE-Mean,10,120,1.1086999999999998,2.7588416497514605,0.6267588333333334,1.6169992708333332
B,SAGE-Mean,15,120,0.9564516666666667,2.7469976529613835,0.4707919374999999,1.4581449166666667
B,SAGE-Mean,20,120,0.8039091666666668,2.7372394998419662,0.3169549166666667,1.3034387083333328
B,SAGE-Mean,30,120,0.4978641666666666,2.7240109625328786,0.011380062499999987,0.9902273124999995
B,MLP,0,120,1.5053933333333334,3.7229891296670545,0.9220387291666666,2.2586946666666665
B,MLP,5,120,1.3276341666666664,3.5459343874238938,0.7610561875000001,2.040929499999999
B,MLP,10,120,1.1484708333333336,3.3658805326741157,0.5997523958333333,1.8189680624999984
B,MLP,15,120,0.9685416666666667,3.1910928275773625,0.4412794374999999,1.5941158125
B,MLP,20,120,0.7884841666666667,3.029347119138808,0.28099895833333327,1.3737367291666664
B,MLP,30,120,0.43010833333333337,2.7691512760854975,-0.04779081249999999,0.9480278541666662
B,LightGBM,0,120,0.6468849999999999,3.260306744285257,0.008249958333333463,1.2024470208333329
B,LightGBM,5,120,0.45811749999999996,3.3942130020280925,-0.20982520833333343,1.0346983124999998
B,LightGBM,10,120,0.26763166666666666,3.5452667441567907,-0.43909572916666656,0.8687858749999998
B,LightGBM,15,120,0.07520583333333335,3.715775699788963,-0.6726938750000001,0.6994866041666665
B,LightGBM,20,120,-0.11944166666666668,3.9086780075862984,-0.9058085625,0.5304089374999992
B,LightGBM,30,120,-0.5167274999999999,4.377699010904899,-1.4145312291666667,0.20187170833333334
C,GAT,0,120,1.8188741666666666,7.793876206943435,0.6714026666666667,3.450104833333332
C,GAT,5,120,1.5568558333333335,7.515337689554138,0.44086527083333316,3.1208088333333315
C,GAT,10,120,1.2907866666666663,7.207288219782389,0.21020522916666656,2.7632919166666663
C,GAT,15,120,1.0219425,6.885630275084,-0.022700708333333295,2.410569479166664
C,GAT,20,120,0.7516041666666667,6.566311217899942,-0.2568750833333333,2.0693472708333327
C,GAT,30,120,0.2103991666666666,5.989011183103922,-0.7429857708333333,1.4002794791666668
C,SAGE-Mean,0,120,0.7197341666666667,4.481545568000679,-0.11192762500000003,1.5268691874999987
C,SAGE-Mean,5,120,0.5091174999999999,4.524211201365949,-0.3287936458333334,1.3122091249999996
C,SAGE-Mean,10,120,0.29806166666666667,4.567913644292269,-0.5476675625,1.102775062499999
C,SAGE-Mean,15,120,0.08576083333333336,4.617757761102003,-0.7754027708333335,0.8946695416666667
C,SAGE-Mean,20,120,-0.12863833333333333,4.680291849213286,-1.0010429166666666,0.6784691666666662
C,SAGE-Mean,30,120,-0.5671091666666667,4.877801154777172,-1.479348083333333,0.25772904166666666
C,MLP,0,120,0.8239116666666667,4.256106648142989,0.07413083333333337,1.5903733958333326
C,MLP,5,120,0.5681291666666666,4.378886294239855,-0.21532743749999997,1.3396315624999995
C,MLP,10,120,0.3127308333333334,4.5139639040267525,-0.5036460208333333,1.1039961458333327
C,MLP,15,120,0.057828333333333384,4.659053750344832,-0.793999833333333,0.8664173541666664
C,MLP,20,120,-0.19648000000000002,4.81188783331833,-1.0807288333333331,0.6337351458333332
C,MLP,30,120,-0.702985,5.132496857725587,-1.654989354166667,0.15338468749999956
C,LightGBM,0,120,1.0513341666666665,3.108460554693164,0.5328478958333333,1.6377190416666667
C,LightGBM,5,120,0.8514258333333333,3.0901164554622578,0.3367953333333334,1.4330649999999994
C,LightGBM,10,120,0.6502216666666667,3.074125152812888,0.1415418958333334,1.2328608541666666
C,LightGBM,15,120,0.44795416666666665,3.0619079906724562,-0.0646062083333333,1.0208306249999999
C,LightGBM,20,120,0.24495166666666654,3.054920477722339,-0.26617349999999995,0.812539604166666
C,LightGBM,30,120,-0.1615466666666666,3.061692244630269,-0.6785141666666668,0.3937875624999995
