universe,model,left_out_fold,n_cells,IC_mean,IC_std_across_cells,Sharpe_gross_mean,Sharpe_gross_std_across_cells,Sharpe_net_10bps_mean,Sharpe_net_10bps_std_across_cells
B,GAT,none,120,0.032,0.0617,1.2071,2.9534,0.8986,2.9359
B,GAT,0,110,0.037,0.0621,1.3013,3.0658,0.9878,3.049
B,GAT,1,110,0.0341,0.064,1.2785,3.0745,0.9561,3.0597
B,GAT,2,110,0.0264,0.0613,0.9272,2.9097,0.6125,2.8826
B,GAT,3,110,0.0344,0.0629,1.3695,3.0296,1.0465,3.0201
B,GAT,4,110,0.0268,0.0575,1.0271,2.8325,0.7205,2.8198
B,GAT,5,110,0.0392,0.0589,1.4694,2.9423,1.1419,2.943
B,GAT,6,110,0.0394,0.0575,1.465,2.9378,1.1637,2.9107
B,GAT,7,110,0.0336,0.0638,1.3575,2.6463,1.0911,2.6096
B,GAT,8,110,0.0306,0.0636,1.2097,3.0003,0.9342,3.0069
B,GAT,9,110,0.0255,0.0602,0.8994,2.8424,0.5831,2.8123
B,GAT,10,110,0.0284,0.0632,0.9887,2.9863,0.6672,2.9554
B,GAT,11,110,0.029,0.0633,1.1917,3.0797,0.8783,3.0611
B,SAGE-Mean,none,120,0.0319,0.0615,1.4124,2.7889,1.1087,2.7588
B,SAGE-Mean,0,110,0.0361,0.0624,1.5455,2.8714,1.2396,2.8402
B,SAGE-Mean,1,110,0.0344,0.0635,1.54,2.8776,1.2284,2.8501
B,SAGE-Mean,2,110,0.0281,0.0625,1.2061,2.8049,0.9005,2.7713
B,SAGE-Mean,3,110,0.0351,0.0625,1.4589,2.8135,1.1503,2.7922
B,SAGE-Mean,4,110,0.0257,0.0541,1.0841,2.3532,0.7908,2.3535
B,SAGE-Mean,5,110,0.039,0.0591,1.709,2.7177,1.3885,2.705
B,SAGE-Mean,6,110,0.0379,0.0596,1.6725,2.7256,1.3775,2.6769
B,SAGE-Mean,7,110,0.0351,0.0627,1.4414,2.8767,1.1722,2.839
B,SAGE-Mean,8,110,0.0292,0.063,1.5183,2.8748,1.2184,2.8411
B,SAGE-Mean,9,110,0.0262,0.061,1.1697,2.7741,0.86,2.7368
B,SAGE-Mean,10,110,0.0269,0.0618,1.1503,2.751,0.8369,2.708
B,SAGE-Mean,11,110,0.0287,0.0631,1.4525,2.9073,1.1414,2.8768
B,MLP,none,120,0.028,0.0481,1.5054,3.723,1.1485,3.3659
B,MLP,0,110,0.0298,0.0499,1.5509,3.8831,1.1912,3.5099
B,MLP,1,110,0.0286,0.0502,1.6037,3.8744,1.2297,3.5049
B,MLP,2,110,0.0222,0.0457,1.2612,3.7878,0.8979,3.3983
B,MLP,3,110,0.0328,0.047,1.6998,3.827,1.3256,3.4585
B,MLP,4,110,0.0263,0.0454,1.1895,2.2437,0.8725,2.2404
B,MLP,5,110,0.0332,0.0469,1.762,3.7834,1.3822,3.419
B,MLP,6,110,0.0316,0.0471,1.6869,3.8297,1.3217,3.4562
B,MLP,7,110,0.031,0.0487,1.578,3.7796,1.2688,3.3917
B,MLP,8,110,0.0283,0.0498,1.6218,3.7917,1.2853,3.3957
B,MLP,9,110,0.0247,0.0485,1.3638,3.8476,0.996,3.4635
B,MLP,10,110,0.0239,0.0481,1.272,3.8018,0.9004,3.4066
B,MLP,11,110,0.0242,0.0484,1.4751,3.8771,1.1103,3.5021
B,LightGBM,none,120,0.0221,0.0418,0.6469,3.2603,0.2676,3.5453
B,LightGBM,0,110,0.0216,0.0436,0.5378,3.3845,0.1455,3.6792
B,LightGBM,1,110,0.026,0.0415,0.6976,3.4016,0.3091,3.7011
B,LightGBM,2,110,0.0173,0.0402,0.2908,3.1679,-0.079,3.4975
B,LightGBM,3,110,0.0253,0.0422,0.7993,3.364,0.404,3.6728
B,LightGBM,4,110,0.0278,0.0383,1.3524,1.9751,1.0586,1.9296
B,LightGBM,5,110,0.0243,0.043,0.6494,3.4066,0.2595,3.7042
B,LightGBM,6,110,0.0248,0.0426,0.8939,3.2963,0.4965,3.6177
B,LightGBM,7,110,0.0227,0.0433,0.6056,3.3899,0.2336,3.6917
B,LightGBM,8,110,0.0149,0.0357,0.6189,3.4001,0.2398,3.6986
B,LightGBM,9,110,0.0189,0.0421,0.3364,3.2278,-0.0552,3.5272
B,LightGBM,10,110,0.0225,0.0435,0.4558,3.3401,0.0665,3.6365
B,LightGBM,11,110,0.0194,0.0425,0.5247,3.3757,0.1327,3.6705
C,GAT,none,120,0.0182,0.0633,1.8189,7.7939,1.2908,7.2073
C,GAT,0,110,0.0211,0.0652,1.9993,8.1063,1.4804,7.4883
C,GAT,1,110,0.0192,0.066,1.9566,8.1282,1.3983,7.5198
C,GAT,2,110,0.0119,0.0622,1.5615,8.0794,1.0325,7.4635
C,GAT,3,110,0.0215,0.065,1.9709,8.1259,1.4113,7.5185
C,GAT,4,110,0.0063,0.0498,0.7856,3.5008,0.3178,3.4306
C,GAT,5,110,0.0199,0.0647,2.1405,8.0579,1.5797,7.4549
C,GAT,6,110,0.0248,0.0607,2.0226,8.1024,1.4805,7.4904
C,GAT,7,110,0.0217,0.0648,2.2622,7.9716,1.781,7.2956
C,GAT,8,110,0.016,0.0641,1.6867,7.9838,1.1895,7.4109
C,GAT,9,110,0.0138,0.064,1.4171,7.9603,0.875,7.3301
C,GAT,10,110,0.0233,0.0637,2.0931,8.0623,1.555,7.4437
C,GAT,11,110,0.0193,0.0657,1.9303,8.1291,1.3886,7.5175
C,SAGE-Mean,none,120,0.026,0.0574,0.7197,4.4815,0.2981,4.5679
C,SAGE-Mean,0,110,0.0285,0.0593,0.8705,4.6355,0.4511,4.7268
C,SAGE-Mean,1,110,0.0271,0.0599,0.7759,4.6756,0.3319,4.7688
C,SAGE-Mean,2,110,0.0208,0.0569,0.4482,4.5746,0.0227,4.6647
C,SAGE-Mean,3,110,0.0286,0.059,0.7812,4.6748,0.3371,4.7678
C,SAGE-Mean,4,110,0.0153,0.045,0.3211,4.4222,-0.1061,4.5155
