universe,model,rank_class,cell_id,fold,seed,IC_mean,Sharpe_gross,Sharpe_net_10bps,mean_turnover_L1
B,GAT,TOP3_Sharpe,74,7,1024,0.0535,11.2086,9.2353,3.5
B,GAT,TOP3_Sharpe,91,9,123,0.101,9.5642,9.361,2.08
B,GAT,TOP3_Sharpe,49,4,2026,0.1628,8.3071,7.9175,2.36
B,GAT,BOT3_Sharpe,61,6,123,-0.0404,-3.5411,-3.8856,2.26
B,GAT,BOT3_Sharpe,71,7,123,0.0076,-6.3362,-7.3064,2.62
B,GAT,BOT3_Sharpe,77,7,34,-0.0299,-8.1424,-9.5685,2.64
B,SAGE-Mean,TOP3_Sharpe,161,4,123,0.1392,12.5638,12.0204,2.26
B,SAGE-Mean,TOP3_Sharpe,160,4,86,0.1749,10.8063,10.0668,2.68
B,SAGE-Mean,TOP3_Sharpe,165,4,2024,0.1551,8.6247,8.1495,2.54
B,SAGE-Mean,BOT3_Sharpe,188,6,99,-0.1184,-3.3697,-3.6451,3.0
B,SAGE-Mean,BOT3_Sharpe,174,5,1024,-0.0322,-3.4534,-3.7338,3.5
B,SAGE-Mean,BOT3_Sharpe,180,6,86,-0.0385,-5.2073,-6.1579,3.24
B,MLP,TOP3_Sharpe,280,4,86,0.1025,33.7306,28.3816,3.06
B,MLP,TOP3_Sharpe,313,7,789,0.0031,6.3885,4.5573,2.78
B,MLP,TOP3_Sharpe,284,4,1024,0.1017,6.2879,5.8397,3.22
B,MLP,BOT3_Sharpe,297,5,34,-0.0323,-2.1967,-2.3097,3.14
B,MLP,BOT3_Sharpe,323,8,789,0.0405,-5.3416,-6.5659,2.98
B,MLP,BOT3_Sharpe,317,7,34,-0.035,-5.3453,-6.1717,3.32
B,LightGBM,TOP3_Sharpe,388,2,99,0.0765,5.6837,5.1884,2.587
B,LightGBM,TOP3_Sharpe,386,2,7,0.0774,5.3502,4.8703,2.64
B,LightGBM,TOP3_Sharpe,384,2,1024,0.0834,5.1629,4.7268,2.48
B,LightGBM,BOT3_Sharpe,409,4,2026,-0.0448,-8.2037,-9.2329,2.44
B,LightGBM,BOT3_Sharpe,407,4,34,-0.068,-13.3027,-15.3977,2.46
B,LightGBM,BOT3_Sharpe,406,4,7,-0.0657,-15.9172,-19.8782,2.42
C,GAT,TOP3_Sharpe,520,4,86,0.1622,75.0062,67.457,3.12
C,GAT,TOP3_Sharpe,529,4,2026,0.1649,17.1749,16.7915,3.26
C,GAT,TOP3_Sharpe,568,8,99,0.0606,16.5308,13.0524,3.14
C,GAT,BOT3_Sharpe,586,10,7,-0.038,-4.8134,-5.4524,2.933
C,GAT,BOT3_Sharpe,559,7,2026,-0.033,-6.198,-7.0363,2.86
C,GAT,BOT3_Sharpe,553,7,789,-0.0349,-6.8158,-9.6253,3.26
C,SAGE-Mean,TOP3_Sharpe,691,9,123,0.0759,29.5017,27.2614,3.34
C,SAGE-Mean,TOP3_Sharpe,645,4,2024,0.175,10.5642,10.0058,2.82
C,SAGE-Mean,TOP3_Sharpe,644,4,1024,0.1957,6.5583,5.9747,3.18
C,SAGE-Mean,BOT3_Sharpe,674,7,1024,-0.0655,-5.3577,-6.5548,3.1
C,SAGE-Mean,BOT3_Sharpe,670,7,86,-0.0201,-8.2312,-12.2753,2.82
C,SAGE-Mean,BOT3_Sharpe,678,7,99,-0.0198,-25.4449,-27.1247,3.14
C,MLP,TOP3_Sharpe,764,4,1024,0.1308,18.3386,16.6572,3.34
C,MLP,TOP3_Sharpe,762,4,456,0.1594,14.8769,14.0472,2.96
C,MLP,TOP3_Sharpe,817,9,34,0.0778,8.5605,8.0553,3.08
C,MLP,BOT3_Sharpe,797,7,34,-0.0088,-8.936,-9.933,3.46
C,MLP,BOT3_Sharpe,790,7,86,-0.0143,-10.7513,-12.5288,3.44
C,MLP,BOT3_Sharpe,793,7,789,-0.0545,-21.0522,-26.5713,3.56
C,LightGBM,TOP3_Sharpe,882,4,456,0.128,16.8601,15.3705,2.32
C,LightGBM,TOP3_Sharpe,888,4,99,0.1166,7.8832,7.3694,2.4
C,LightGBM,TOP3_Sharpe,951,11,123,0.0046,7.5253,5.7154,2.32
C,LightGBM,BOT3_Sharpe,911,7,123,-0.0214,-4.8417,-5.6961,2.8
C,LightGBM,BOT3_Sharpe,919,7,2026,-0.0223,-4.8757,-5.7291,2.8
C,LightGBM,BOT3_Sharpe,916,7,7,-0.0184,-5.4939,-6.8006,3.16
