universe,model,fold,IC_mean_mean,IC_mean_std,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_net_0bps_mean,Sharpe_net_0bps_std,Sharpe_net_5bps_mean,Sharpe_net_5bps_std,Sharpe_net_10bps_mean,Sharpe_net_10bps_std,Sharpe_net_15bps_mean,Sharpe_net_15bps_std,Sharpe_net_20bps_mean,Sharpe_net_20bps_std,Sharpe_net_30bps_mean,Sharpe_net_30bps_std
B,GAT,0,-0.0224,0.0114,0.171,0.4419,0.171,0.4419,0.0434,0.45,-0.0828,0.459,-0.2077,0.4685,-0.3312,0.4786,-0.5742,0.4999
B,GAT,1,0.0089,0.0081,0.4218,0.3201,0.4218,0.3201,0.3434,0.3175,0.2662,0.3156,0.1901,0.3143,0.115,0.3136,-0.032,0.3138
B,GAT,2,0.0942,0.014,4.2858,1.1434,4.2858,1.1434,4.1657,1.1477,4.0452,1.1523,3.9243,1.1572,3.803,1.1624,3.5592,1.1736
B,GAT,3,0.0065,0.0409,-0.5797,0.546,-0.5797,0.546,-0.654,0.5423,-0.7289,0.5394,-0.8047,0.5374,-0.8812,0.5363,-1.0367,0.5372
B,GAT,4,0.0893,0.0798,3.1865,3.6625,3.1865,3.6625,3.0227,3.6348,2.8575,3.6081,2.691,3.5824,2.523,3.5577,2.1829,3.5116
B,GAT,5,-0.0471,0.027,-1.6787,0.6209,-1.6787,0.6209,-1.7284,0.6217,-1.7778,0.6229,-1.8268,0.6245,-1.8756,0.6266,-1.9722,0.6321
B,GAT,6,-0.0489,0.0487,-1.6297,1.0229,-1.6297,1.0229,-1.8194,1.0097,-2.0172,1.0275,-2.224,1.0855,-2.441,1.1909,-2.911,1.5602
B,GAT,7,0.0146,0.0262,-0.4472,5.2153,-0.4472,5.2153,-0.8384,5.1565,-1.2192,5.1043,-1.5905,5.057,-1.9529,5.013,-2.6544,4.9319
B,GAT,8,0.0478,0.0331,1.1786,2.5114,1.1786,2.5114,0.8428,2.2882,0.5063,2.0674,0.1695,1.8536,-0.1673,1.6539,-0.8403,1.3391
B,GAT,9,0.1037,0.0175,4.5912,1.8978,4.5912,1.8978,4.4802,1.8954,4.3687,1.892,4.2568,1.8875,4.1444,1.8819,3.9184,1.8668
B,GAT,10,0.0723,0.0087,3.609,0.5757,3.609,0.5757,3.5266,0.5764,3.4434,0.578,3.3596,0.5804,3.2751,0.5836,3.1041,0.5923
B,GAT,11,0.0653,0.0231,1.3764,0.6547,1.3764,0.6547,1.2503,0.6502,1.1215,0.6472,0.9901,0.6459,0.856,0.6462,0.5793,0.6523
B,LightGBM,0,0.0275,0.0027,1.8466,0.2711,1.8466,0.2711,1.728,0.2612,1.6108,0.2518,1.495,0.2431,1.3807,0.235,1.1563,0.2209
B,LightGBM,1,-0.0204,0.0024,0.0891,0.185,0.0891,0.185,-0.0513,0.1849,-0.1886,0.1854,-0.3227,0.1865,-0.454,0.188,-0.7076,0.1922
B,LightGBM,2,0.0753,0.0049,4.5637,0.6417,4.5637,0.6417,4.3231,0.6417,4.081,0.644,3.8377,0.6485,3.5934,0.6551,3.1022,0.6745
B,LightGBM,3,-0.0122,0.0066,-1.0296,0.2958,-1.0296,0.2958,-1.1302,0.2939,-1.2324,0.2925,-1.3361,0.2916,-1.4415,0.2914,-1.657,0.2928
B,LightGBM,4,-0.0399,0.026,-7.1135,4.5057,-7.1135,4.5057,-7.7599,4.9321,-8.4335,5.4155,-9.1368,5.9668,-9.8726,6.5998,-11.4575,8.1799
B,LightGBM,5,-0.0021,0.0,0.6187,0.0,0.6187,0.0,0.4883,0.0,0.3575,0.0,0.2263,0.0,0.0947,0.0,-0.1695,0.0
B,LightGBM,6,-0.0075,0.0,-2.0704,0.0,-2.0704,0.0,-2.1598,0.0,-2.2502,0.0,-2.3416,0.0,-2.434,0.0,-2.6219,0.0
B,LightGBM,7,0.0153,0.018,1.1011,1.0587,1.1011,1.0587,0.8687,1.0193,0.6418,0.9806,0.4203,0.9421,0.2039,0.9035,-0.2139,0.8256
B,LightGBM,8,0.1012,0.0068,0.9546,0.6469,0.9546,0.6469,0.7621,0.6379,0.5738,0.6302,0.3898,0.6237,0.2097,0.6183,-0.1388,0.6103
B,LightGBM,9,0.0576,0.0047,4.0624,0.4743,4.0624,0.4743,3.9402,0.4783,3.8184,0.4839,3.6972,0.4911,3.5763,0.4994,3.3362,0.5191
B,LightGBM,10,0.0185,0.0087,2.7488,0.2824,2.7488,0.2824,2.6153,0.2937,2.4805,0.3058,2.3443,0.3186,2.2068,0.332,1.9278,0.3609
B,LightGBM,11,0.0523,0.0058,1.9911,0.5893,1.9911,0.5893,1.873,0.5904,1.7524,0.5918,1.6291,0.5935,1.5032,0.5956,1.243,0.6009
B,MLP,0,0.0085,0.0064,1.0047,0.5882,1.0047,0.5882,0.84,0.5766,0.6783,0.5724,0.5194,0.575,0.3633,0.5834,0.0592,0.6135
B,MLP,1,0.0216,0.0091,0.4237,0.2331,0.4237,0.2331,0.3385,0.2266,0.2546,0.2204,0.172,0.2146,0.0906,0.2091,-0.0686,0.1992
B,MLP,2,0.0929,0.0132,4.1914,0.8733,4.1914,0.8733,4.0485,0.8609,3.905,0.8499,3.7609,0.8407,3.6164,0.8332,3.3259,0.8239
B,MLP,3,-0.0244,0.0234,-0.6334,0.5888,-0.6334,0.5888,-0.7162,0.5841,-0.7997,0.5797,-0.8841,0.5755,-0.9693,0.5718,-1.1423,0.5653
B,MLP,4,0.0477,0.0717,4.9806,10.376,4.9806,10.376,4.5918,9.6234,4.1843,8.8225,3.7661,7.9991,3.3446,7.1783,2.5162,5.6303
B,MLP,5,-0.0287,0.0104,-1.3169,0.5016,-1.3169,0.5016,-1.37,0.48,-1.4228,0.4598,-1.4754,0.4411,-1.5278,0.4243,-1.6317,0.3966
B,MLP,6,-0.0105,0.0435,-0.4909,0.9008,-0.4909,0.9008,-0.623,0.874,-0.757,0.8503,-0.8928,0.8302,-1.0306,0.8145,-1.312,0.7995
