config,regime_condition,bps,n_cells,Sharpe_net_mean,Sharpe_net_ci_lo,Sharpe_net_ci_hi,Sharpe_net_std
alpha1_corr_only,full,0,50,1.912,1.101,2.822,3.0954974373658874
alpha1_corr_only,full,5,50,1.768,0.973,2.665,3.048180754188321
alpha1_corr_only,full,10,50,1.623,0.839,2.506,2.998426710949376
alpha1_corr_only,full,15,50,1.477,0.706,2.348,2.946361813636109
alpha1_corr_only,full,20,50,1.33,0.572,2.19,2.8920734135889004
alpha1_corr_only,full,30,50,1.033,0.302,1.855,2.777525129718975
alpha1_corr_only,lofo4,0,40,1.134,0.533,1.807,2.08052051226339
alpha1_corr_only,lofo4,5,40,1.006,0.409,1.674,2.0559572402517494
alpha1_corr_only,lofo4,10,40,0.878,0.286,1.537,2.030544418193409
alpha1_corr_only,lofo4,15,40,0.749,0.166,1.399,2.0043203272763894
alpha1_corr_only,lofo4,20,40,0.621,0.047,1.26,1.9772848255829936
alpha1_corr_only,lofo4,30,40,0.364,-0.191,0.981,1.920985216842369
alpha1_corr_only,fold4_only,0,10,5.023,2.479,7.662,4.469075051220828
alpha1_corr_only,fold4_only,5,10,4.817,2.303,7.42,4.400009136404655
alpha1_corr_only,fold4_only,10,10,4.606,2.13,7.16,4.327521990251594
alpha1_corr_only,fold4_only,15,10,4.389,1.95,6.896,4.251859727081524
alpha1_corr_only,fold4_only,20,10,4.167,1.775,6.619,4.1733016683569755
alpha1_corr_only,fold4_only,30,10,3.708,1.417,6.09,4.008998159210797
alpha2_corr_sector,full,0,50,2.023,1.09,3.133,3.7424351512519936
alpha2_corr_sector,full,5,50,1.894,0.985,2.964,3.627312565475595
alpha2_corr_sector,full,10,50,1.766,0.881,2.803,3.514883371279616
alpha2_corr_sector,full,15,50,1.638,0.777,2.638,3.405672382897182
alpha2_corr_sector,full,20,50,1.51,0.673,2.477,3.3000719401614282
alpha2_corr_sector,full,30,50,1.256,0.462,2.153,3.1009012237254576
alpha2_corr_sector,lofo4,0,40,1.04,0.422,1.675,2.0933093361518536
alpha2_corr_sector,lofo4,5,40,0.94,0.326,1.569,2.074792954562282
alpha2_corr_sector,lofo4,10,40,0.841,0.229,1.462,2.0563080739691006
alpha2_corr_sector,lofo4,15,40,0.742,0.135,1.358,2.0378929787707394
alpha2_corr_sector,lofo4,20,40,0.643,0.042,1.253,2.019520773923282
alpha2_corr_sector,lofo4,30,40,0.447,-0.138,1.046,1.9830176045031047
alpha2_corr_sector,fold4_only,0,10,5.955,2.931,9.864,5.982492481390084
alpha2_corr_sector,fold4_only,5,10,5.711,2.778,9.439,5.722747939864399
alpha2_corr_sector,fold4_only,10,10,5.466,2.624,9.008,5.469869262758176
alpha2_corr_sector,fold4_only,15,10,5.223,2.473,8.596,5.225359742650367
alpha2_corr_sector,fold4_only,20,10,4.979,2.315,8.194,4.990462089949408
alpha2_corr_sector,fold4_only,30,10,4.496,1.987,7.364,4.553509319207672
alpha3_corr_news,full,0,50,2.102,1.165,3.197,3.670299183165162
alpha3_corr_news,full,5,50,1.966,1.048,3.037,3.598367263065575
