universe,fc_arm,contrast,edge_added,cost_bps,n_fold_blocks,dSharpe_net_mean,ci_lo,ci_hi,ci_excludes_0
B,L3,L3fc-L2,news,0,12,0.0486,-0.3884,0.5257,False
B,L3,L3fc-L2,news,10,12,0.0053,-0.3955,0.4331,False
B,L3,L3fc-L2,news,30,12,-0.0878,-0.4174,0.269,False
B,L4,L4fc-L2,sector,0,12,0.2227,-0.3989,0.8961,False
B,L4,L4fc-L2,sector,10,12,0.2098,-0.3801,0.8327,False
B,L4,L4fc-L2,sector,30,12,0.2001,-0.3512,0.7637,False
B,L5,L5fc-L2,sector+news,0,12,0.087,-0.4788,0.7614,False
B,L5,L5fc-L2,sector+news,10,12,0.1176,-0.448,0.7669,False
B,L5,L5fc-L2,sector+news,30,12,0.1998,-0.3967,0.8439,False
C,L3,L3fc-L2,news,0,12,-0.356,-0.8663,0.0832,False
C,L3,L3fc-L2,news,10,12,-0.3756,-0.9061,0.0588,False
C,L3,L3fc-L2,news,30,12,-0.3429,-0.8679,0.0997,False
C,L4,L4fc-L2,sector,0,12,0.812,-0.2902,1.9304,False
C,L4,L4fc-L2,sector,10,12,0.8566,-0.2788,2.0237,False
C,L4,L4fc-L2,sector,30,12,0.9779,-0.2525,2.3283,False
C,L5,L5fc-L2,sector+news,0,12,0.753,-0.3472,1.8476,False
C,L5,L5fc-L2,sector+news,10,12,0.8133,-0.3218,1.9682,False
C,L5,L5fc-L2,sector+news,30,12,0.9752,-0.3009,2.3263,False
