universe,arm,model,cost_bps,n_cells,Sharpe_net_mean,Sharpe_net_median,Sharpe_net_ci_lo,Sharpe_net_ci_hi,Sharpe_net_drop_q2_2025,mean_turnover_L1,max_abs_Sharpe_gross_cell
B,L0,LightGBM,0,120,0.9008,0.8286,0.4626,1.3317,0.7675,2.007,8.42
B,L0,LightGBM,5,120,0.7446,0.7245,0.3109,1.1729,0.6192,2.007,8.42
B,L0,LightGBM,10,120,0.5892,0.5825,0.1568,1.0132,0.4723,2.007,8.42
B,L0,LightGBM,15,120,0.4345,0.3263,0.003,0.8581,0.3267,2.007,8.42
B,L0,LightGBM,20,120,0.2807,0.0801,-0.1525,0.7036,0.1825,2.007,8.42
B,L0,LightGBM,30,120,-0.0244,-0.3846,-0.455,0.3943,-0.1018,2.007,8.42
B,L1,MLP,0,120,1.33,0.7674,0.8749,1.8053,1.0703,2.612,12.03
B,L1,MLP,5,120,1.1757,0.5695,0.7179,1.6449,0.9215,2.612,12.03
B,L1,MLP,10,120,1.0213,0.4132,0.5641,1.4903,0.7726,2.612,12.03
B,L1,MLP,15,120,0.8666,0.3138,0.4056,1.3312,0.6235,2.612,12.03
B,L1,MLP,20,120,0.7118,0.1583,0.251,1.179,0.4744,2.612,12.03
B,L1,MLP,30,120,0.4015,-0.2108,-0.0684,0.8743,0.1756,2.612,12.03
B,L2,GAT,0,120,1.2079,0.7968,0.694,1.713,1.0209,2.75,11.33
B,L2,GAT,5,120,1.0442,0.6418,0.5323,1.5447,0.8671,2.75,11.33
B,L2,GAT,10,120,0.8802,0.4962,0.3711,1.3755,0.7135,2.75,11.33
B,L2,GAT,15,120,0.716,0.2974,0.2163,1.201,0.5602,2.75,11.33
B,L2,GAT,20,120,0.5514,0.2083,0.0497,1.0359,0.4071,2.75,11.33
B,L2,GAT,30,120,0.2211,0.0122,-0.2769,0.7012,0.1014,2.75,11.33
B,L2s,SAGE-Mean,0,120,1.3063,0.9444,0.8691,1.774,1.3017,2.454,11.43
B,L2s,SAGE-Mean,5,120,1.139,0.8319,0.7019,1.6022,1.1372,2.454,11.43
B,L2s,SAGE-Mean,10,120,0.9719,0.7174,0.533,1.4299,0.9733,2.454,11.43
B,L2s,SAGE-Mean,15,120,0.8051,0.5835,0.3593,1.2588,0.8101,2.454,11.43
B,L2s,SAGE-Mean,20,120,0.6385,0.3749,0.187,1.0949,0.6476,2.454,11.43
B,L2s,SAGE-Mean,30,120,0.3061,0.0338,-0.1529,0.7673,0.3248,2.454,11.43
B,L3,GAT,0,120,1.0052,0.9022,0.4345,1.6285,0.9846,3.03,19.99
B,L3,GAT,5,120,0.77,0.7497,0.1964,1.3904,0.7518,3.03,19.99
B,L3,GAT,10,120,0.5345,0.5554,-0.0449,1.1569,0.5188,3.03,19.99
B,L3,GAT,15,120,0.2987,0.2593,-0.2889,0.9256,0.2855,3.03,19.99
B,L3,GAT,20,120,0.0625,0.0706,-0.5383,0.6948,0.052,3.03,19.99
B,L3,GAT,30,120,-0.411,-0.2843,-1.0423,0.236,-0.416,3.03,19.99
B,L4,GAT,0,120,1.1816,1.0589,0.661,1.7291,1.2752,2.954,10.93
B,L4,GAT,5,120,0.9802,0.9294,0.4644,1.5211,1.0761,2.954,10.93
B,L4,GAT,10,120,0.7797,0.8055,0.2663,1.3141,0.8777,2.954,10.93
