universe,pair,arm_A,arm_B,cost_bps,n_fold_blocks,dSharpe_mean,dSharpe_ci_lo,dSharpe_ci_hi,ci_excludes_0,lofo_min_mean,lofo_max_mean,sign_stable_under_lofo,dSharpe_drop_q2_2025
B,L1-L0,L1,L0,0,12,0.4292,-0.1566,0.9872,False,0.3028,0.6332,True,0.3028
B,L1-L0,L1,L0,10,12,0.4321,-0.141,0.9741,False,0.3003,0.6353,True,0.3003
B,L1-L0,L1,L0,30,12,0.4259,-0.1749,1.0058,False,0.2773,0.6303,True,0.2773
B,L2-L1,L2,L1,0,12,-0.1222,-0.5179,0.326,False,-0.2592,-0.0493,True,-0.0493
B,L2-L1,L2,L1,10,12,-0.1411,-0.5307,0.2902,False,-0.2723,-0.0591,True,-0.0591
B,L2-L1,L2,L1,30,12,-0.1804,-0.5841,0.248,False,-0.2987,-0.0741,True,-0.0741
B,L6-L2,L6,L2,0,12,0.0432,-0.8328,0.8803,False,-0.2229,0.3481,False,0.0341
B,L6-L2,L6,L2,10,12,0.0821,-0.7769,0.8991,False,-0.1823,0.3825,False,0.049
B,L6-L2,L6,L2,30,12,0.1966,-0.6436,0.9827,False,-0.0606,0.4892,False,0.113
B,L7-L2,L7,L2,0,12,-0.4151,-1.5175,0.4881,False,-0.65,0.0356,False,0.0356
B,L7-L2,L7,L2,10,12,-0.3464,-1.394,0.5009,False,-0.552,0.0867,False,0.0867
B,L7-L2,L7,L2,30,12,-0.189,-1.1352,0.5713,False,-0.3476,0.204,False,0.204
B,L2s-L2,L2s,L2,0,12,0.0984,-0.7113,0.9615,False,-0.1356,0.2912,False,0.2807
B,L2s-L2,L2s,L2,10,12,0.0917,-0.6829,0.8962,False,-0.1159,0.2694,False,0.2598
B,L2s-L2,L2s,L2,30,12,0.085,-0.6177,0.7816,False,-0.069,0.2649,False,0.2233
B,L3-L2,L3,L2,0,12,-0.2026,-1.25,0.822,False,-0.4504,0.0276,False,-0.0363
B,L3-L2,L3,L2,10,12,-0.3457,-1.3687,0.6308,False,-0.5697,-0.1122,True,-0.1947
B,L3-L2,L3,L2,30,12,-0.6322,-1.5975,0.2765,False,-0.812,-0.386,True,-0.5174
B,L4-L2,L4,L2,0,12,-0.0263,-1.2242,1.0891,False,-0.2642,0.3517,False,0.2543
B,L4-L2,L4,L2,10,12,-0.1006,-1.2435,0.9448,False,-0.314,0.2721,False,0.1642
B,L4-L2,L4,L2,30,12,-0.237,-1.2848,0.6894,False,-0.4089,0.1247,False,-0.0109
B,L5-L2,L5,L2,0,12,0.0282,-1.0611,1.0611,False,-0.2154,0.372,False,0.2804
B,L5-L2,L5,L2,10,12,-0.0433,-1.0896,0.9232,False,-0.2703,0.2931,False,0.1977
B,L5-L2,L5,L2,30,12,-0.1843,-1.1338,0.664,False,-0.3802,0.1359,False,0.028
B,L5-L4,L5,L4,0,12,0.0545,-0.2678,0.3534,False,-0.0475,0.163,False,0.0261
B,L5-L4,L5,L4,10,12,0.0573,-0.2336,0.3275,False,-0.0284,0.1449,False,0.0335
B,L5-L4,L5,L4,30,12,0.0527,-0.2012,0.2732,False,-0.0023,0.1238,False,0.0389
B,L5-L3,L5,L3,0,12,0.2308,-0.2834,0.8108,False,0.051,0.3556,True,0.3167
B,L5-L3,L5,L3,10,12,0.3024,-0.2204,0.901,False,0.1267,0.4245,True,0.3924
B,L5-L3,L5,L3,30,12,0.4479,-0.1155,1.091,False,0.2485,0.5654,True,0.5454
C,L1-L0,L1,L0,0,12,1.2447,0.4603,2.1382,True,0.896,1.4339,True,0.896
C,L1-L0,L1,L0,10,12,1.1733,0.356,2.0793,True,0.8333,1.3937,True,0.8333
C,L1-L0,L1,L0,30,12,1.0217,0.1086,1.9699,True,0.6932,1.2977,True,0.6932
C,L2-L1,L2,L1,0,12,-0.6851,-1.3529,-0.0709,True,-0.8251,-0.4849,True,-0.4849
C,L2-L1,L2,L1,10,12,-0.7208,-1.4207,-0.1017,True,-0.8414,-0.4981,True,-0.5364
C,L2-L1,L2,L1,30,12,-0.8547,-1.7076,-0.1642,True,-0.9655,-0.5129,True,-0.7057
C,L6-L2,L6,L2,0,12,0.4187,-0.8416,1.6534,False,0.0604,0.8142,True,0.3317
C,L6-L2,L6,L2,10,12,0.4984,-0.7708,1.7774,False,0.0778,0.8779,True,0.4128
C,L6-L2,L6,L2,30,12,0.6994,-0.5516,2.1435,False,0.1297,1.0005,True,0.6206
C,L7-L2,L7,L2,0,12,0.1633,-1.2691,1.3377,False,-0.1043,0.7188,False,-0.1043
C,L7-L2,L7,L2,10,12,0.1447,-1.4047,1.4013,False,-0.1615,0.7588,False,-0.1243
C,L7-L2,L7,L2,30,12,-0.0314,-2.1935,1.6435,False,-0.4981,0.8643,False,-0.312
C,L2s-L2,L2s,L2,0,12,0.0553,-0.5536,0.6701,False,-0.1095,0.2405,False,0.0894
C,L2s-L2,L2s,L2,10,12,0.0653,-0.6276,0.741,False,-0.088,0.3022,False,0.0911
C,L2s-L2,L2s,L2,30,12,0.1665,-0.6589,0.9724,False,-0.0891,0.454,False,0.1841
C,L3-L2,L3,L2,0,12,0.1468,-0.6093,0.8221,False,-0.0254,0.3735,False,0.0966
C,L3-L2,L3,L2,10,12,0.0821,-0.7713,0.8868,False,-0.1455,0.3428,False,0.07
C,L3-L2,L3,L2,30,12,0.0099,-1.1167,1.208,False,-0.348,0.3324,False,0.0909
C,L4-L2,L4,L2,0,12,0.6775,-0.4326,1.9012,False,0.2255,0.9745,True,0.2255
C,L4-L2,L4,L2,10,12,0.809,-0.3601,2.0802,False,0.3835,1.1027,True,0.3835
C,L4-L2,L4,L2,30,12,1.0928,-0.2146,2.5875,False,0.6012,1.3824,True,0.7185
