universe,pair,arm_A,arm_B,cost_bps,fold,test_period,dSharpe
B,L1-L0,L1,L0,0,0,2023Q1,0.1494
B,L1-L0,L1,L0,0,1,2023Q2,1.2259
B,L1-L0,L1,L0,0,2,2023Q3,1.0789
B,L1-L0,L1,L0,0,3,2023Q4,-1.8144
B,L1-L0,L1,L0,0,4,2024Q1,-0.1526
B,L1-L0,L1,L0,0,5,2024Q2,-0.7132
B,L1-L0,L1,L0,0,6,2024Q3,0.1745
B,L1-L0,L1,L0,0,7,2024Q4,-0.1878
B,L1-L0,L1,L0,0,8,2025Q1,0.6207
B,L1-L0,L1,L0,0,9,2025Q2,1.8202
B,L1-L0,L1,L0,0,10,2025Q3,1.1335
B,L1-L0,L1,L0,0,11,2025Q4,1.8157
B,L1-L0,L1,L0,10,0,2023Q1,0.1883
B,L1-L0,L1,L0,10,1,2023Q2,1.149
B,L1-L0,L1,L0,10,2,2023Q3,0.7497
B,L1-L0,L1,L0,10,3,2023Q4,-1.8028
B,L1-L0,L1,L0,10,4,2024Q1,-0.1626
B,L1-L0,L1,L0,10,5,2024Q2,-0.8219
B,L1-L0,L1,L0,10,6,2024Q3,0.2932
B,L1-L0,L1,L0,10,7,2024Q4,0.1725
B,L1-L0,L1,L0,10,8,2025Q1,0.6169
B,L1-L0,L1,L0,10,9,2025Q2,1.8827
B,L1-L0,L1,L0,10,10,2025Q3,1.0744
B,L1-L0,L1,L0,10,11,2025Q4,1.846
B,L1-L0,L1,L0,30,0,2023Q1,0.254
B,L1-L0,L1,L0,30,1,2023Q2,0.9942
B,L1-L0,L1,L0,30,2,2023Q3,0.0109
B,L1-L0,L1,L0,30,3,2023Q4,-1.8223
B,L1-L0,L1,L0,30,4,2024Q1,-0.1872
B,L1-L0,L1,L0,30,5,2024Q2,-1.03
B,L1-L0,L1,L0,30,6,2024Q3,0.5122
B,L1-L0,L1,L0,30,7,2024Q4,0.8157
B,L1-L0,L1,L0,30,8,2025Q1,0.6138
B,L1-L0,L1,L0,30,9,2025Q2,2.0602
B,L1-L0,L1,L0,30,10,2025Q3,0.9587
B,L1-L0,L1,L0,30,11,2025Q4,1.9306
B,L2-L1,L2,L1,0,0,2023Q1,-0.8994
B,L2-L1,L2,L1,0,1,2023Q2,-0.4679
B,L2-L1,L2,L1,0,2,2023Q3,-0.3311
B,L2-L1,L2,L1,0,3,2023Q4,1.3851
B,L2-L1,L2,L1,0,4,2024Q1,1.2918
B,L2-L1,L2,L1,0,5,2024Q2,0.3975
B,L2-L1,L2,L1,0,6,2024Q3,0.2513
B,L2-L1,L2,L1,0,7,2024Q4,-0.3897
B,L2-L1,L2,L1,0,8,2025Q1,-0.819
B,L2-L1,L2,L1,0,9,2025Q2,-0.9237
B,L2-L1,L2,L1,0,10,2025Q3,-0.4123
B,L2-L1,L2,L1,0,11,2025Q4,-0.5487
B,L2-L1,L2,L1,10,0,2023Q1,-0.8732
B,L2-L1,L2,L1,10,1,2023Q2,-0.5131
B,L2-L1,L2,L1,10,2,2023Q3,-0.082
B,L2-L1,L2,L1,10,3,2023Q4,1.3021
B,L2-L1,L2,L1,10,4,2024Q1,1.2022
B,L2-L1,L2,L1,10,5,2024Q2,0.3995
B,L2-L1,L2,L1,10,6,2024Q3,0.2185
B,L2-L1,L2,L1,10,7,2024Q4,-0.411
B,L2-L1,L2,L1,10,8,2025Q1,-0.8089
B,L2-L1,L2,L1,10,9,2025Q2,-1.0429
B,L2-L1,L2,L1,10,10,2025Q3,-0.5321
B,L2-L1,L2,L1,10,11,2025Q4,-0.5518
B,L2-L1,L2,L1,30,0,2023Q1,-0.8083
B,L2-L1,L2,L1,30,1,2023Q2,-0.6144
B,L2-L1,L2,L1,30,2,2023Q3,0.483
B,L2-L1,L2,L1,30,3,2023Q4,1.1215
B,L2-L1,L2,L1,30,4,2024Q1,1.0136
B,L2-L1,L2,L1,30,5,2024Q2,0.4013
B,L2-L1,L2,L1,30,6,2024Q3,0.1522
B,L2-L1,L2,L1,30,7,2024Q4,-0.4524
B,L2-L1,L2,L1,30,8,2025Q1,-0.786
B,L2-L1,L2,L1,30,9,2025Q2,-1.3491
B,L2-L1,L2,L1,30,10,2025Q3,-0.7673
B,L2-L1,L2,L1,30,11,2025Q4,-0.5586
B,L6-L2,L6,L2,0,0,2023Q1,2.9698
B,L6-L2,L6,L2,0,1,2023Q2,1.0947
B,L6-L2,L6,L2,0,2,2023Q3,-0.6136
B,L6-L2,L6,L2,0,3,2023Q4,-1.8314
B,L6-L2,L6,L2,0,4,2024Q1,-3.3115
B,L6-L2,L6,L2,0,5,2024Q2,0.2929
B,L6-L2,L6,L2,0,6,2024Q3,0.0301
B,L6-L2,L6,L2,0,7,2024Q4,0.292
B,L6-L2,L6,L2,0,8,2025Q1,-0.0167
B,L6-L2,L6,L2,0,9,2025Q2,0.1432
B,L6-L2,L6,L2,0,10,2025Q3,0.1953
B,L6-L2,L6,L2,0,11,2025Q4,1.2731
B,L6-L2,L6,L2,10,0,2023Q1,2.9911
B,L6-L2,L6,L2,10,1,2023Q2,0.793
B,L6-L2,L6,L2,10,2,2023Q3,-0.454
B,L6-L2,L6,L2,10,3,2023Q4,-1.7784
B,L6-L2,L6,L2,10,4,2024Q1,-3.222
B,L6-L2,L6,L2,10,5,2024Q2,0.3214
B,L6-L2,L6,L2,10,6,2024Q3,0.0601
B,L6-L2,L6,L2,10,7,2024Q4,0.2658
B,L6-L2,L6,L2,10,8,2025Q1,0.001
B,L6-L2,L6,L2,10,9,2025Q2,0.4459
B,L6-L2,L6,L2,10,10,2025Q3,0.348
B,L6-L2,L6,L2,10,11,2025Q4,1.2134
B,L6-L2,L6,L2,30,0,2023Q1,3.0262
B,L6-L2,L6,L2,30,1,2023Q2,0.5407
B,L6-L2,L6,L2,30,2,2023Q3,-0.1746
B,L6-L2,L6,L2,30,3,2023Q4,-1.6274
B,L6-L2,L6,L2,30,4,2024Q1,-3.0211
B,L6-L2,L6,L2,30,5,2024Q2,0.3902
B,L6-L2,L6,L2,30,6,2024Q3,0.119
B,L6-L2,L6,L2,30,7,2024Q4,0.2143
B,L6-L2,L6,L2,30,8,2025Q1,0.0365
B,L6-L2,L6,L2,30,9,2025Q2,1.1167
B,L6-L2,L6,L2,30,10,2025Q3,0.6547
B,L6-L2,L6,L2,30,11,2025Q4,1.0846
B,L7-L2,L7,L2,0,0,2023Q1,0.522
B,L7-L2,L7,L2,0,1,2023Q2,0.1464
B,L7-L2,L7,L2,0,2,2023Q3,2.1683
B,L7-L2,L7,L2,0,3,2023Q4,-0.4117
B,L7-L2,L7,L2,0,4,2024Q1,-2.334
B,L7-L2,L7,L2,0,5,2024Q2,0.0034
B,L7-L2,L7,L2,0,6,2024Q3,0.0767
B,L7-L2,L7,L2,0,7,2024Q4,-0.2571
B,L7-L2,L7,L2,0,8,2025Q1,-0.6257
B,L7-L2,L7,L2,0,9,2025Q2,-5.3735
B,L7-L2,L7,L2,0,10,2025Q3,0.2918
B,L7-L2,L7,L2,0,11,2025Q4,0.8116
B,L7-L2,L7,L2,10,0,2023Q1,0.5746
B,L7-L2,L7,L2,10,1,2023Q2,0.2578
B,L7-L2,L7,L2,10,2,2023Q3,1.9158
B,L7-L2,L7,L2,10,3,2023Q4,-0.258
B,L7-L2,L7,L2,10,4,2024Q1,-2.2109
B,L7-L2,L7,L2,10,5,2024Q2,0.0529
B,L7-L2,L7,L2,10,6,2024Q3,0.1207
B,L7-L2,L7,L2,10,7,2024Q4,-0.2034
B,L7-L2,L7,L2,10,8,2025Q1,-0.5914
B,L7-L2,L7,L2,10,9,2025Q2,-5.1107
B,L7-L2,L7,L2,10,10,2025Q3,0.4406
B,L7-L2,L7,L2,10,11,2025Q4,0.8552
B,L7-L2,L7,L2,30,0,2023Q1,0.6751
B,L7-L2,L7,L2,30,1,2023Q2,0.4816
B,L7-L2,L7,L2,30,2,2023Q3,1.5552
B,L7-L2,L7,L2,30,3,2023Q4,0.0706
B,L7-L2,L7,L2,30,4,2024Q1,-1.9507
B,L7-L2,L7,L2,30,5,2024Q2,0.1424
B,L7-L2,L7,L2,30,6,2024Q3,0.2088
B,L7-L2,L7,L2,30,7,2024Q4,-0.0985
B,L7-L2,L7,L2,30,8,2025Q1,-0.5193
B,L7-L2,L7,L2,30,9,2025Q2,-4.513
B,L7-L2,L7,L2,30,10,2025Q3,0.7374
B,L7-L2,L7,L2,30,11,2025Q4,0.9419
B,L2s-L2,L2s,L2,0,0,2023Q1,1.1532
B,L2s-L2,L2s,L2,0,1,2023Q2,1.0966
B,L2s-L2,L2s,L2,0,2,2023Q3,2.6728
B,L2s-L2,L2s,L2,0,3,2023Q4,-1.4518
B,L2s-L2,L2s,L2,0,4,2024Q1,-2.0215
B,L2s-L2,L2s,L2,0,5,2024Q2,-1.1661
B,L2s-L2,L2s,L2,0,6,2024Q3,-0.3866
B,L2s-L2,L2s,L2,0,7,2024Q4,-0.0087
B,L2s-L2,L2s,L2,0,8,2025Q1,2.1298
