universe,arm,T,IC_mean,IC_ci_lo,IC_ci_hi,ci_excludes_0
B,L0,749,0.02279,0.00236,0.04294,True
B,L1,749,0.03707,0.01179,0.06297,True
B,L2,749,0.02381,-0.00539,0.05284,False
B,L2s,749,0.03166,0.00438,0.0596,True
B,L3,749,0.00888,-0.01475,0.03118,False
B,L4,749,0.01567,-0.00783,0.03827,False
B,L5,749,0.01377,-0.01098,0.03732,False
B,L5s,749,0.02721,-0.00173,0.05669,False
B,L6,749,0.02898,0.00146,0.05642,True
B,L7,749,0.01466,-0.01999,0.04941,False
C,L0,749,0.01953,-0.00702,0.04808,False
C,L1,749,0.03429,0.00437,0.06694,True
C,L2,749,0.02237,-0.00798,0.0559,False
C,L2s,749,0.03128,0.00094,0.06538,True
C,L3,749,0.01006,-0.01221,0.0329,False
C,L4,749,0.03862,0.00024,0.08115,True
C,L5,749,0.03753,0.00613,0.07214,True
C,L5s,749,0.00182,-0.01903,0.02359,False
C,L6,749,0.03973,0.00731,0.07561,True
C,L7,749,0.03252,-0.00027,0.06775,False
