universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
B,L1-L0,0,0.01416,0.01694,-0.01636,False
B,L1-L0,1,0.01416,0.01669,-0.01366,False
B,L1-L0,2,0.01416,0.01352,0.02115,False
B,L1-L0,3,0.01416,0.02005,-0.05062,False
B,L1-L0,4,0.01416,0.01299,0.027,False
B,L1-L0,5,0.01416,0.01638,-0.01028,False
B,L1-L0,6,0.01416,0.01242,0.03327,False
B,L1-L0,7,0.01416,0.01023,0.05735,False
B,L1-L0,8,0.01416,0.01605,-0.00661,False
B,L1-L0,9,0.01416,0.01064,0.05286,False
B,L1-L0,10,0.01416,0.01212,0.03666,False
B,L1-L0,11,0.01416,0.01189,0.03918,False
B,L2-L1,0,-0.01337,-0.01397,-0.00677,False
B,L2-L1,1,-0.01337,-0.00933,-0.05779,False
B,L2-L1,2,-0.01337,-0.01642,0.02022,False
B,L2-L1,3,-0.01337,-0.01366,-0.01023,False
B,L2-L1,4,-0.01337,-0.01399,-0.00654,False
B,L2-L1,5,-0.01337,-0.01371,-0.00968,False
B,L2-L1,6,-0.01337,-0.0141,-0.00539,False
B,L2-L1,7,-0.01337,-0.01317,-0.01557,False
B,L2-L1,8,-0.01337,-0.01182,-0.03046,False
B,L2-L1,9,-0.01337,-0.01431,-0.00301,False
B,L2-L1,10,-0.01337,-0.01303,-0.01713,False
B,L2-L1,11,-0.01337,-0.01294,-0.0181,False
B,L6-L2,0,0.00517,0.00255,0.03404,False
B,L6-L2,1,0.00517,0.00324,0.02646,False
B,L6-L2,2,0.00517,0.00871,-0.03377,False
B,L6-L2,3,0.00517,0.00717,-0.01681,False
B,L6-L2,4,0.00517,0.00784,-0.0242,False
B,L6-L2,5,0.00517,0.0039,0.01912,False
B,L6-L2,6,0.00517,0.00496,0.00756,False
B,L6-L2,7,0.00517,0.00637,-0.00805,False
B,L6-L2,8,0.00517,0.00649,-0.00938,False
B,L6-L2,9,0.00517,0.00485,0.00871,False
B,L6-L2,10,0.00517,0.00346,0.02398,False
B,L6-L2,11,0.00517,0.00252,0.03439,False
B,L7-L2,0,-0.00945,-0.00921,-0.01211,False
B,L7-L2,1,-0.00945,-0.01199,0.01852,False
B,L7-L2,2,-0.00945,-0.0095,-0.00896,False
