universe,pair,is_edge_pair,T,mean_delta_IC,delta_ci_lo,delta_ci_hi,ci_excludes_0,SE_block,MDE_2p8xSE,T_days,n_eff_blocks
B,L1-L0,False,749,0.01428,-0.00507,0.03414,False,0.00982,0.02749,749,35.7
B,L2-L1,False,749,-0.01327,-0.02272,-0.00439,True,0.00485,0.01359,749,35.7
B,L6-L2,False,749,0.00517,-0.00963,0.02103,False,0.00781,0.02188,749,35.7
B,L7-L2,False,749,-0.00914,-0.03571,0.01031,False,0.01205,0.03373,749,35.7
B,L2s-L2,False,749,0.00785,-0.00777,0.0221,False,0.00762,0.02133,749,35.7
B,L3-L2,True,749,-0.01493,-0.02998,0.00021,False,0.00777,0.02177,749,35.7
B,L4-L2,True,749,-0.00813,-0.02687,0.01011,False,0.00945,0.02647,749,35.7
B,L5-L2,True,749,-0.01004,-0.02796,0.00722,False,0.00896,0.0251,749,35.7
B,L5-L4,True,749,-0.0019,-0.00538,0.00153,False,0.00176,0.00494,749,35.7
B,L5-L3,True,749,0.00489,-0.00134,0.01108,False,0.00314,0.00878,749,35.7
C,L1-L0,False,749,0.01477,-0.00036,0.03041,False,0.00786,0.02201,749,35.7
C,L2-L1,False,749,-0.01193,-0.01813,-0.00564,True,0.00318,0.00891,749,35.7
C,L6-L2,False,749,0.01736,0.00395,0.03019,True,0.00681,0.01906,749,35.7
C,L7-L2,False,749,0.01015,0.00073,0.01809,True,0.00446,0.01249,749,35.7
C,L2s-L2,False,749,0.00891,0.00373,0.01413,True,0.00267,0.00748,749,35.7
C,L3-L2,True,749,-0.01231,-0.02569,-1e-05,True,0.00656,0.01838,749,35.7
C,L4-L2,True,749,0.01625,-0.00033,0.03267,False,0.00845,0.02366,749,35.7
C,L5-L2,True,749,0.01516,0.00437,0.02644,True,0.00564,0.01578,749,35.7
C,L5-L4,True,749,-0.0011,-0.01467,0.01208,False,0.00691,0.01935,749,35.7
C,L5-L3,True,749,0.02747,0.01419,0.04157,True,0.00698,0.01955,749,35.7
