universe,arm,n_cells,n_fully_degenerate,n_partial_collapse,n_normal,collapse_rate
B,L0,120,0,0,120,0.0
B,L1,120,0,0,120,0.0
B,L2,120,0,0,120,0.0
B,L2s,120,0,0,120,0.0
B,L3,120,0,0,120,0.0
B,L4,120,0,0,120,0.0
B,L5,120,0,0,120,0.0
B,L5s,120,0,0,120,0.0
B,L6,120,0,0,120,0.0
B,L7,120,0,0,120,0.0
C,L0,120,0,0,120,0.0
C,L1,120,0,0,120,0.0
C,L2,120,0,0,120,0.0
C,L2s,120,0,0,120,0.0
C,L3,120,0,0,120,0.0
C,L4,120,0,0,120,0.0
C,L5,120,0,0,120,0.0
C,L5s,120,25,8,87,0.275
C,L6,120,0,0,120,0.0
C,L7,120,0,0,120,0.0
