universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
C5,L1-L0,0,0.01342,0.0134,0.01364,False
C5,L1-L0,1,0.01342,0.01531,-0.00739,False
C5,L1-L0,2,0.01342,0.01354,0.01206,False
C5,L1-L0,3,0.01342,0.01089,0.04122,False
C5,L1-L0,4,0.01342,0.01446,0.00203,False
C5,L1-L0,5,0.01342,0.01489,-0.00275,False
C5,L1-L0,6,0.01342,0.01456,0.00088,False
C5,L1-L0,7,0.01342,0.01201,0.02892,False
C5,L1-L0,8,0.01342,0.01381,0.00917,False
C5,L1-L0,9,0.01342,0.00681,0.08618,False
C5,L1-L0,10,0.01342,0.01573,-0.01196,False
C5,L1-L0,11,0.01342,0.01564,-0.01096,False
