universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
C5,L1-L0,0,0.01316,0.01275,0.01761,False
C5,L1-L0,1,0.01316,0.01438,-0.00025,False
C5,L1-L0,2,0.01316,0.01378,0.00634,False
C5,L1-L0,3,0.01316,0.01058,0.04156,False
C5,L1-L0,4,0.01316,0.01408,0.00301,False
C5,L1-L0,5,0.01316,0.01426,0.00099,False
C5,L1-L0,6,0.01316,0.01468,-0.00357,False
C5,L1-L0,7,0.01316,0.01196,0.0263,False
C5,L1-L0,8,0.01316,0.01455,-0.00217,False
C5,L1-L0,9,0.01316,0.00635,0.08801,False
C5,L1-L0,10,0.01316,0.01545,-0.01209,False
C5,L1-L0,11,0.01316,0.01507,-0.00784,False
