universe,pair,dropped_fold,full_mean_delta,lofo_mean_delta,this_fold_delta,sign_flips_when_dropped
CPRE,L1-L0,0,-0.00214,-0.00327,0.01037,False
CPRE,L1-L0,1,-0.00214,4e-05,-0.02611,True
CPRE,L1-L0,2,-0.00214,-0.00213,-0.00217,False
CPRE,L1-L0,3,-0.00214,-0.00555,0.03546,False
CPRE,L1-L0,4,-0.00214,-0.00323,0.00989,False
CPRE,L1-L0,5,-0.00214,-0.0037,0.01504,False
CPRE,L1-L0,6,-0.00214,-0.00079,-0.01697,False
CPRE,L1-L0,7,-0.00214,-0.00241,0.0009,False
CPRE,L1-L0,8,-0.00214,-0.0056,0.03601,False
CPRE,L1-L0,9,-0.00214,0.01027,-0.13865,True
CPRE,L1-L0,10,-0.00214,0.00088,-0.03528,True
CPRE,L1-L0,11,-0.00214,-0.01014,0.08588,False
