cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2400,C5,L0,LightGBM,86,0,completed,1789111821.2,1789111821.7,0.5,
2401,C5,L0,LightGBM,123,0,completed,1789111821.7,1789111822.2,0.5,
2402,C5,L0,LightGBM,456,0,completed,1789111822.2,1789111822.7,0.5,
2403,C5,L0,LightGBM,789,0,completed,1789111822.7,1789111823.1,0.5,
2404,C5,L0,LightGBM,1024,0,completed,1789111823.2,1789111823.6,0.4,
2405,C5,L0,LightGBM,2024,0,completed,1789111823.7,1789111824.1,0.5,
2406,C5,L0,LightGBM,7,0,completed,1789111824.1,1789111824.6,0.5,
2407,C5,L0,LightGBM,34,0,completed,1789111824.6,1789111825.1,0.5,
2408,C5,L0,LightGBM,99,0,completed,1789111825.1,1789111825.6,0.4,
2409,C5,L0,LightGBM,2026,0,completed,1789111825.6,1789111826.0,0.5,
2520,C5,L1,MLP,86,0,completed,1789111826.1,1789111896.3,70.2,
2521,C5,L1,MLP,123,0,completed,1789111896.4,1789111915.5,19.2,
2522,C5,L1,MLP,456,0,completed,1789111915.6,1789111956.2,40.6,
2523,C5,L1,MLP,789,0,completed,1789111956.3,1789111993.2,36.9,
2524,C5,L1,MLP,1024,0,completed,1789111993.2,1789112024.5,31.3,
2525,C5,L1,MLP,2024,0,completed,1789112024.6,1789112065.9,41.3,
2526,C5,L1,MLP,7,0,completed,1789112065.9,1789112105.1,39.2,
2527,C5,L1,MLP,34,0,completed,1789112105.2,1789112132.2,27.0,
2528,C5,L1,MLP,99,0,completed,1789112132.2,1789112169.1,36.9,
2529,C5,L1,MLP,2026,0,completed,1789112169.2,1789112187.7,18.5,
2410,C5,L0,LightGBM,86,1,completed,1789112187.9,1789112188.4,0.5,
2411,C5,L0,LightGBM,123,1,completed,1789112188.4,1789112188.9,0.5,
2412,C5,L0,LightGBM,456,1,completed,1789112189.0,1789112189.5,0.5,
2413,C5,L0,LightGBM,789,1,completed,1789112189.5,1789112190.0,0.5,
2414,C5,L0,LightGBM,1024,1,completed,1789112190.1,1789112190.5,0.5,
2415,C5,L0,LightGBM,2024,1,completed,1789112190.6,1789112191.1,0.5,
2416,C5,L0,LightGBM,7,1,completed,1789112191.2,1789112191.6,0.5,
2417,C5,L0,LightGBM,34,1,completed,1789112191.7,1789112192.2,0.5,
2418,C5,L0,LightGBM,99,1,completed,1789112192.2,1789112192.7,0.5,
2419,C5,L0,LightGBM,2026,1,completed,1789112192.8,1789112193.3,0.5,
2530,C5,L1,MLP,86,1,completed,1789112193.3,1789112215.1,21.8,
2531,C5,L1,MLP,123,1,completed,1789112215.2,1789112245.2,30.0,
2532,C5,L1,MLP,456,1,completed,1789112245.3,1789112267.2,22.0,
2533,C5,L1,MLP,789,1,completed,1789112267.3,1789112290.9,23.6,
2534,C5,L1,MLP,1024,1,completed,1789112291.0,1789112314.4,23.4,
2535,C5,L1,MLP,2024,1,completed,1789112314.4,1789112339.0,24.6,
2536,C5,L1,MLP,7,1,completed,1789112339.1,1789112360.8,21.7,
2537,C5,L1,MLP,34,1,completed,1789112360.8,1789112384.0,23.2,
2538,C5,L1,MLP,99,1,completed,1789112384.0,1789112405.7,21.6,
2539,C5,L1,MLP,2026,1,completed,1789112405.7,1789112430.0,24.3,
2420,C5,L0,LightGBM,86,2,completed,1789112430.1,1789112430.9,0.7,
2421,C5,L0,LightGBM,123,2,completed,1789112430.9,1789112431.6,0.7,
2422,C5,L0,LightGBM,456,2,completed,1789112431.7,1789112432.4,0.7,
2423,C5,L0,LightGBM,789,2,completed,1789112432.4,1789112433.0,0.6,
2424,C5,L0,LightGBM,1024,2,completed,1789112433.1,1789112433.7,0.6,
2425,C5,L0,LightGBM,2024,2,completed,1789112433.7,1789112434.5,0.8,
