cell_id,universe,arm,model,edge_config,seed,fold,test_period,IC_mean,IC_std,n_test_days,Sharpe_gross,Sharpe_net_0bps,Sharpe_net_5bps,Sharpe_net_10bps,Sharpe_net_15bps,Sharpe_net_20bps,Sharpe_net_30bps,mean_turnover_L1,n_periods,best_val_loss,epochs_run,wall_time_sec,converged_flag,cost_convention
2400,C5,L0,LightGBM,none,86,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2401,C5,L0,LightGBM,none,123,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2402,C5,L0,LightGBM,none,456,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2403,C5,L0,LightGBM,none,789,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2404,C5,L0,LightGBM,none,1024,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.4,1,L1_one_way
2405,C5,L0,LightGBM,none,2024,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2406,C5,L0,LightGBM,none,7,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2407,C5,L0,LightGBM,none,34,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2408,C5,L0,LightGBM,none,99,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.4,1,L1_one_way
2409,C5,L0,LightGBM,none,2026,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.5,1,L1_one_way
2520,C5,L1,MLP,none,86,0,2023Q1,-0.018143,0.099734,62,-2.1878,-2.1878,-2.2446,-2.3011,-2.3575,-2.4137,-2.5257,3.34,3,0.984999,62,70.2,1,L1_one_way
2521,C5,L1,MLP,none,123,0,2023Q1,-0.039591,0.103573,62,-3.8985,-3.8985,-4.3208,-4.7514,-5.1904,-5.6381,-6.5605,3.3,3,0.998331,17,19.2,1,L1_one_way
2522,C5,L1,MLP,none,456,0,2023Q1,0.020137,0.076426,62,-1.8675,-1.8675,-1.9571,-2.0462,-2.1351,-2.2236,-2.3996,3.46,3,0.992425,36,40.6,1,L1_one_way
2523,C5,L1,MLP,none,789,0,2023Q1,0.013906,0.088488,62,-2.2116,-2.2116,-2.2722,-2.3325,-2.3924,-2.452,-2.5703,2.94,3,0.993918,33,36.9,1,L1_one_way
2524,C5,L1,MLP,none,1024,0,2023Q1,0.015885,0.099751,62,-2.3939,-2.3939,-2.505,-2.6149,-2.7236,-2.831,-3.0424,3.0,3,0.993153,28,31.3,1,L1_one_way
2525,C5,L1,MLP,none,2024,0,2023Q1,0.020421,0.087672,62,-1.4442,-1.4442,-1.5492,-1.6531,-1.756,-1.8577,-2.0581,2.96,3,0.995482,37,41.3,1,L1_one_way
2526,C5,L1,MLP,none,7,0,2023Q1,0.02286,0.080885,62,-0.0467,-0.0467,-0.1819,-0.316,-0.4491,-0.5811,-0.8422,3.26,3,0.993495,35,39.2,1,L1_one_way
2527,C5,L1,MLP,none,34,0,2023Q1,0.049107,0.093945,62,-2.187,-2.187,-2.2785,-2.3689,-2.4583,-2.5466,-2.72,2.74,3,0.990965,24,27.0,1,L1_one_way
2528,C5,L1,MLP,none,99,0,2023Q1,0.021926,0.089226,62,-0.7723,-0.7723,-0.8769,-0.9808,-1.084,-1.1866,-1.3896,3.12,3,0.997449,30,36.9,1,L1_one_way
2529,C5,L1,MLP,none,2026,0,2023Q1,-0.002739,0.101937,62,2.0071,2.0071,1.7742,1.5403,1.3052,1.0692,0.5944,3.28,3,0.997773,16,18.5,1,L1_one_way
2410,C5,L0,LightGBM,none,86,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2411,C5,L0,LightGBM,none,123,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2412,C5,L0,LightGBM,none,456,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2413,C5,L0,LightGBM,none,789,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2414,C5,L0,LightGBM,none,1024,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2415,C5,L0,LightGBM,none,2024,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2416,C5,L0,LightGBM,none,7,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2417,C5,L0,LightGBM,none,34,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2418,C5,L0,LightGBM,none,99,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2419,C5,L0,LightGBM,none,2026,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.5,1,L1_one_way
2530,C5,L1,MLP,none,86,1,2023Q2,0.002713,0.108303,62,1.2315,1.2315,1.0124,0.7908,0.5669,0.3404,-0.12,3.4,3,0.99557,16,21.8,1,L1_one_way
2531,C5,L1,MLP,none,123,1,2023Q2,0.032469,0.100624,62,4.1189,4.1189,3.6823,3.237,2.7828,2.3193,1.364,3.38,3,0.99726,22,30.0,1,L1_one_way
2532,C5,L1,MLP,none,456,1,2023Q2,-0.018903,0.147144,62,0.1319,0.1319,-0.074,-0.28,-0.4863,-0.6927,-1.1058,3.1,3,0.997233,16,22.0,1,L1_one_way
2533,C5,L1,MLP,none,789,1,2023Q2,-0.070631,0.088607,62,-1.161,-1.161,-1.2515,-1.3425,-1.4339,-1.5257,-1.7107,3.08,3,1.005372,17,23.6,1,L1_one_way
2534,C5,L1,MLP,none,1024,1,2023Q2,-0.053101,0.095139,62,-0.8516,-0.8516,-0.9503,-1.0496,-1.1497,-1.2505,-1.4541,3.04,3,0.999596,17,23.4,1,L1_one_way
2535,C5,L1,MLP,none,2024,1,2023Q2,-0.081276,0.105156,62,-3.4855,-3.4855,-3.8011,-4.1303,-4.4741,-4.8333,-5.6017,2.08,3,0.99923,18,24.6,1,L1_one_way
2536,C5,L1,MLP,none,7,1,2023Q2,-0.042231,0.137149,62,-5.0682,-5.0682,-5.3685,-5.6716,-5.9775,-6.2863,-6.9124,3.32,3,0.999516,16,21.7,1,L1_one_way
2537,C5,L1,MLP,none,34,1,2023Q2,-0.038125,0.082671,62,-1.9506,-1.9506,-2.0827,-2.2158,-2.3499,-2.4849,-2.7579,2.92,3,1.000223,17,23.2,1,L1_one_way
2538,C5,L1,MLP,none,99,1,2023Q2,0.021039,0.109024,62,-1.4635,-1.4635,-1.7482,-2.0362,-2.3275,-2.6222,-3.222,3.38,3,0.99899,16,21.6,1,L1_one_way
2539,C5,L1,MLP,none,2026,1,2023Q2,0.022004,0.076262,62,1.56,1.56,1.3256,1.0907,0.8552,0.6193,0.146,3.6,3,0.997832,18,24.3,1,L1_one_way
2420,C5,L0,LightGBM,none,86,2,2023Q3,-0.007282,0.050341,63,-1.2941,-1.2941,-1.5086,-1.721,-1.9312,-2.1393,-2.5494,3.3,3,-0.021954,20,0.7,1,L1_one_way
2421,C5,L0,LightGBM,none,123,2,2023Q3,-0.009629,0.052093,63,-1.3822,-1.3822,-1.5856,-1.7871,-1.9867,-2.1845,-2.5748,3.36,3,-0.024388,18,0.7,1,L1_one_way
