cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
2400,C5,L0,LightGBM,86,0,completed,1789112293.5,1789112294.5,1.1,
2401,C5,L0,LightGBM,123,0,completed,1789112294.7,1789112295.6,0.9,
2402,C5,L0,LightGBM,456,0,completed,1789112295.8,1789112296.7,0.9,
2403,C5,L0,LightGBM,789,0,completed,1789112296.9,1789112297.8,0.9,
2404,C5,L0,LightGBM,1024,0,completed,1789112297.9,1789112299.0,1.1,
2405,C5,L0,LightGBM,2024,0,completed,1789112299.2,1789112301.3,2.1,
2406,C5,L0,LightGBM,7,0,completed,1789112301.4,1789112302.4,0.9,
2407,C5,L0,LightGBM,34,0,completed,1789112302.5,1789112303.4,1.0,
2408,C5,L0,LightGBM,99,0,completed,1789112303.6,1789112304.5,0.9,
2409,C5,L0,LightGBM,2026,0,completed,1789112304.7,1789112305.6,0.9,
2520,C5,L1,MLP,86,0,completed,1789112305.8,1789112347.2,41.5,
2521,C5,L1,MLP,123,0,completed,1789112347.5,1789112359.6,12.1,
2522,C5,L1,MLP,456,0,completed,1789112359.8,1789112383.4,23.6,
2523,C5,L1,MLP,789,0,completed,1789112383.6,1789112414.8,31.2,
2524,C5,L1,MLP,1024,0,completed,1789112415.1,1789112430.8,15.7,
2525,C5,L1,MLP,2024,0,completed,1789112431.0,1789112452.4,21.5,
2526,C5,L1,MLP,7,0,completed,1789112452.7,1789112463.8,11.1,
2527,C5,L1,MLP,34,0,completed,1789112464.0,1789112478.8,14.8,
2528,C5,L1,MLP,99,0,completed,1789112479.1,1789112507.5,28.4,
2529,C5,L1,MLP,2026,0,completed,1789112507.7,1789112524.1,16.4,
2410,C5,L0,LightGBM,86,1,completed,1789112524.9,1789112525.9,1.0,
2411,C5,L0,LightGBM,123,1,completed,1789112526.1,1789112527.2,1.0,
2412,C5,L0,LightGBM,456,1,completed,1789112527.4,1789112528.5,1.1,
2413,C5,L0,LightGBM,789,1,completed,1789112528.8,1789112529.9,1.1,
2414,C5,L0,LightGBM,1024,1,completed,1789112530.1,1789112531.1,1.0,
2415,C5,L0,LightGBM,2024,1,completed,1789112531.3,1789112532.3,1.0,
2416,C5,L0,LightGBM,7,1,completed,1789112532.5,1789112533.5,1.0,
2417,C5,L0,LightGBM,34,1,completed,1789112533.8,1789112534.8,1.0,
2418,C5,L0,LightGBM,99,1,completed,1789112535.1,1789112536.1,1.0,
2419,C5,L0,LightGBM,2026,1,completed,1789112536.4,1789112537.4,1.0,
2530,C5,L1,MLP,86,1,completed,1789112537.7,1789112550.6,12.9,
2531,C5,L1,MLP,123,1,completed,1789112550.8,1789112571.3,20.5,
2532,C5,L1,MLP,456,1,completed,1789112571.6,1789112584.0,12.4,
2533,C5,L1,MLP,789,1,completed,1789112584.2,1789112597.9,13.7,
2534,C5,L1,MLP,1024,1,completed,1789112598.1,1789112610.1,11.9,
