cell_id,universe,arm,model,edge_config,seed,fold,test_period,IC_mean,IC_std,n_test_days,Sharpe_gross,Sharpe_net_0bps,Sharpe_net_5bps,Sharpe_net_10bps,Sharpe_net_15bps,Sharpe_net_20bps,Sharpe_net_30bps,mean_turnover_L1,n_periods,best_val_loss,epochs_run,wall_time_sec,converged_flag,cost_convention
2400,C5,L0,LightGBM,none,86,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,1.1,1,L1_one_way
2401,C5,L0,LightGBM,none,123,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2402,C5,L0,LightGBM,none,456,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2403,C5,L0,LightGBM,none,789,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2404,C5,L0,LightGBM,none,1024,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,1.1,1,L1_one_way
2405,C5,L0,LightGBM,none,2024,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,2.1,1,L1_one_way
2406,C5,L0,LightGBM,none,7,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2407,C5,L0,LightGBM,none,34,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2408,C5,L0,LightGBM,none,99,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2409,C5,L0,LightGBM,none,2026,0,2023Q1,-0.007235,0.058717,62,-2.3813,-2.3813,-2.5692,-2.7555,-2.9401,-3.1231,-3.4843,3.32,3,-0.005736,7,0.9,1,L1_one_way
2520,C5,L1,MLP,none,86,0,2023Q1,0.017088,0.07103,62,-1.257,-1.257,-1.3279,-1.3986,-1.4689,-1.539,-1.6783,3.3,3,0.979525,60,41.5,1,L1_one_way
2521,C5,L1,MLP,none,123,0,2023Q1,-0.026218,0.08484,62,-3.3058,-3.3058,-3.3914,-3.4766,-3.5613,-3.6457,-3.8132,3.3,3,0.997957,18,12.1,1,L1_one_way
2522,C5,L1,MLP,none,456,0,2023Q1,-0.001487,0.093631,62,-2.3903,-2.3903,-2.4822,-2.5738,-2.6649,-2.7555,-2.9354,3.32,3,0.993799,36,23.6,1,L1_one_way
2523,C5,L1,MLP,none,789,0,2023Q1,0.013871,0.067665,62,-1.7881,-1.7881,-1.8767,-1.965,-2.0528,-2.1402,-2.3136,3.3,3,0.986145,51,31.2,1,L1_one_way
2524,C5,L1,MLP,none,1024,0,2023Q1,0.032339,0.119151,62,-2.6507,-2.6507,-2.7529,-2.8536,-2.9529,-3.0509,-3.2427,2.7,3,0.99448,25,15.7,1,L1_one_way
2525,C5,L1,MLP,none,2024,0,2023Q1,0.034172,0.086932,62,-1.1942,-1.1942,-1.3364,-1.4767,-1.6151,-1.7516,-2.0191,2.9,3,0.994464,35,21.5,1,L1_one_way
2526,C5,L1,MLP,none,7,0,2023Q1,-0.044749,0.094921,62,-2.9119,-2.9119,-3.0262,-3.1402,-3.2538,-3.3669,-3.5921,3.6,3,0.998372,18,11.1,1,L1_one_way
2527,C5,L1,MLP,none,34,0,2023Q1,0.005801,0.100074,62,-2.9431,-2.9431,-3.0167,-3.0898,-3.1625,-3.2346,-3.3775,3.06,3,0.993097,24,14.8,1,L1_one_way
2528,C5,L1,MLP,none,99,0,2023Q1,0.006696,0.075697,62,-0.9622,-0.9622,-1.0447,-1.1266,-1.2079,-1.2887,-1.4487,3.0,3,0.996187,44,28.4,1,L1_one_way
2529,C5,L1,MLP,none,2026,0,2023Q1,0.026543,0.098324,62,-1.4934,-1.4934,-1.5797,-1.6653,-1.75,-1.8341,-1.9999,2.82,3,0.998067,26,16.4,1,L1_one_way
2410,C5,L0,LightGBM,none,86,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2411,C5,L0,LightGBM,none,123,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2412,C5,L0,LightGBM,none,456,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.1,1,L1_one_way
2413,C5,L0,LightGBM,none,789,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.1,1,L1_one_way
2414,C5,L0,LightGBM,none,1024,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2415,C5,L0,LightGBM,none,2024,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,0.9,1,L1_one_way
2416,C5,L0,LightGBM,none,7,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2417,C5,L0,LightGBM,none,34,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2418,C5,L0,LightGBM,none,99,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2419,C5,L0,LightGBM,none,2026,1,2023Q2,-0.022351,0.081651,62,1.3603,1.3603,1.061,0.7577,0.4504,0.1391,-0.4957,3.3,3,0.001305,6,1.0,1,L1_one_way
2530,C5,L1,MLP,none,86,1,2023Q2,-0.043992,0.098002,62,1.3347,1.3347,1.059,0.7815,0.5023,0.2214,-0.3456,3.6,3,0.998086,16,12.9,1,L1_one_way
2531,C5,L1,MLP,none,123,1,2023Q2,-0.006061,0.1066,62,0.3072,0.3072,0.1312,-0.0457,-0.2235,-0.4023,-0.7626,3.5,3,0.998195,26,20.5,1,L1_one_way
2532,C5,L1,MLP,none,456,1,2023Q2,-0.018246,0.14497,62,-0.7408,-0.7408,-0.9786,-1.2154,-1.4512,-1.686,-2.1522,3.26,3,0.998035,16,12.4,1,L1_one_way
2533,C5,L1,MLP,none,789,1,2023Q2,-0.054056,0.096914,62,-1.1903,-1.1903,-1.288,-1.3862,-1.4849,-1.584,-1.7838,3.28,3,1.003916,18,13.7,1,L1_one_way
2534,C5,L1,MLP,none,1024,1,2023Q2,-0.061421,0.104404,62,-1.1372,-1.1372,-1.2165,-1.296,-1.3757,-1.4556,-1.616,3.24,3,0.999377,16,11.9,1,L1_one_way
2535,C5,L1,MLP,none,2024,1,2023Q2,-0.080317,0.090155,62,-2.6829,-2.6829,-2.9225,-3.1703,-3.4268,-3.6923,-4.2518,1.94,3,0.999547,18,13.5,1,L1_one_way
2536,C5,L1,MLP,none,7,1,2023Q2,-0.061526,0.126341,62,-8.3777,-8.3777,-8.9939,-9.614,-10.2369,-10.8616,-12.1119,2.98,3,0.998225,16,12.1,1,L1_one_way
2537,C5,L1,MLP,none,34,1,2023Q2,-0.069348,0.110236,62,-1.956,-1.956,-2.0491,-2.1423,-2.2359,-2.3296,-2.5178,3.28,3,1.000301,17,12.7,1,L1_one_way
2538,C5,L1,MLP,none,99,1,2023Q2,0.052419,0.100305,62,0.7789,0.7789,0.5428,0.3042,0.0632,-0.1802,-0.6746,3.4,3,0.998311,17,12.9,1,L1_one_way
2539,C5,L1,MLP,none,2026,1,2023Q2,0.04515,0.075023,62,0.569,0.569,0.2307,-0.1103,-0.4541,-0.8003,-1.4999,3.08,3,0.997974,17,12.8,1,L1_one_way
2420,C5,L0,LightGBM,none,86,2,2023Q3,-0.007282,0.050341,63,-1.2941,-1.2941,-1.5086,-1.721,-1.9312,-2.1393,-2.5494,3.3,3,-0.021954,20,1.5,1,L1_one_way
2421,C5,L0,LightGBM,none,123,2,2023Q3,-0.009629,0.052093,63,-1.3822,-1.3822,-1.5856,-1.7871,-1.9867,-2.1845,-2.5748,3.36,3,-0.024388,18,1.5,1,L1_one_way
2422,C5,L0,LightGBM,none,456,2,2023Q3,-0.018879,0.050375,63,-1.7917,-1.7917,-2.0335,-2.273,-2.5102,-2.7451,-3.2082,3.46,3,-0.024242,19,1.7,1,L1_one_way
2423,C5,L0,LightGBM,none,789,2,2023Q3,-0.01718,0.055491,63,-2.9489,-2.9489,-3.1981,-3.4437,-3.6857,-3.9242,-4.3908,3.32,3,-0.018277,11,1.3,1,L1_one_way
2424,C5,L0,LightGBM,none,1024,2,2023Q3,-0.00676,0.051827,63,-1.8115,-1.8115,-2.0389,-2.2632,-2.4844,-2.7025,-3.1301,3.3,3,-0.017509,12,1.3,1,L1_one_way
2425,C5,L0,LightGBM,none,2024,2,2023Q3,-0.010171,0.05291,63,-2.1177,-2.1177,-2.3417,-2.5633,-2.7823,-2.999,-3.4251,3.36,3,-0.019335,24,1.7,1,L1_one_way
2426,C5,L0,LightGBM,none,7,2,2023Q3,-0.009741,0.051832,63,-2.2063,-2.2063,-2.4115,-2.6146,-2.8157,-3.0146,-3.4063,3.34,3,-0.016763,22,1.6,1,L1_one_way
2427,C5,L0,LightGBM,none,34,2,2023Q3,-0.043064,0.072568,63,-3.7956,-3.7956,-4.2898,-4.7809,-5.2686,-5.7524,-6.707,3.14,3,-0.021013,2,0.9,1,L1_one_way
