cell_id,universe,arm,model,seed,fold,status,start_ts,end_ts,wall_time_sec,err
3600,CPRE,L0,LightGBM,86,0,completed,1789205614.7,1789205615.3,0.7,
3601,CPRE,L0,LightGBM,123,0,completed,1789205615.4,1789205616.1,0.7,
3602,CPRE,L0,LightGBM,456,0,completed,1789205616.2,1789205616.8,0.7,
3603,CPRE,L0,LightGBM,789,0,completed,1789205616.9,1789205617.5,0.7,
3604,CPRE,L0,LightGBM,1024,0,completed,1789205617.6,1789205618.3,0.7,
3605,CPRE,L0,LightGBM,2024,0,completed,1789205618.3,1789205619.0,0.7,
3606,CPRE,L0,LightGBM,7,0,completed,1789205619.0,1789205619.7,0.6,
3607,CPRE,L0,LightGBM,34,0,completed,1789205619.7,1789205620.4,0.7,
3608,CPRE,L0,LightGBM,99,0,completed,1789205620.4,1789205621.1,0.7,
3609,CPRE,L0,LightGBM,2026,0,completed,1789205621.1,1789205621.8,0.6,
3720,CPRE,L1,MLP,86,0,completed,1789205621.8,1789205643.4,21.6,
3721,CPRE,L1,MLP,123,0,completed,1789205643.5,1789205666.3,22.8,
3722,CPRE,L1,MLP,456,0,completed,1789205666.3,1789205689.9,23.6,
3723,CPRE,L1,MLP,789,0,completed,1789205690.0,1789205712.4,22.4,
3724,CPRE,L1,MLP,1024,0,completed,1789205712.5,1789205737.2,24.7,
3725,CPRE,L1,MLP,2024,0,completed,1789205737.3,1789205758.7,21.4,
3726,CPRE,L1,MLP,7,0,completed,1789205758.7,1789205780.1,21.4,
3727,CPRE,L1,MLP,34,0,completed,1789205780.2,1789205801.6,21.4,
3728,CPRE,L1,MLP,99,0,completed,1789205801.6,1789205821.9,20.3,
3729,CPRE,L1,MLP,2026,0,completed,1789205821.9,1789205844.5,22.5,
3610,CPRE,L0,LightGBM,86,1,completed,1789205844.8,1789205845.7,1.0,
3611,CPRE,L0,LightGBM,123,1,completed,1789205845.8,1789205846.7,0.9,
3612,CPRE,L0,LightGBM,456,1,completed,1789205846.8,1789205847.7,1.0,
3613,CPRE,L0,LightGBM,789,1,completed,1789205847.8,1789205848.7,1.0,
3614,CPRE,L0,LightGBM,1024,1,completed,1789205848.8,1789205849.7,0.9,
3615,CPRE,L0,LightGBM,2024,1,completed,1789205849.8,1789205850.8,1.0,
3616,CPRE,L0,LightGBM,7,1,completed,1789205850.8,1789205851.8,1.0,
3617,CPRE,L0,LightGBM,34,1,completed,1789205851.8,1789205852.7,0.9,
3618,CPRE,L0,LightGBM,99,1,completed,1789205852.8,1789205853.7,0.9,
3619,CPRE,L0,LightGBM,2026,1,completed,1789205853.8,1789205854.7,1.0,
