cell_id,universe,arm,model,edge_config,seed,fold,test_period,IC_mean,IC_std,n_test_days,Sharpe_gross,Sharpe_net_0bps,Sharpe_net_5bps,Sharpe_net_10bps,Sharpe_net_15bps,Sharpe_net_20bps,Sharpe_net_30bps,mean_turnover_L1,n_periods,best_val_loss,epochs_run,wall_time_sec,converged_flag,cost_convention
3600,CPRE,L0,LightGBM,none,86,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3601,CPRE,L0,LightGBM,none,123,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3602,CPRE,L0,LightGBM,none,456,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3603,CPRE,L0,LightGBM,none,789,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3604,CPRE,L0,LightGBM,none,1024,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3605,CPRE,L0,LightGBM,none,2024,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3606,CPRE,L0,LightGBM,none,7,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.6,1,L1_one_way
3607,CPRE,L0,LightGBM,none,34,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3608,CPRE,L0,LightGBM,none,99,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.7,1,L1_one_way
3609,CPRE,L0,LightGBM,none,2026,0,2023Q1,-0.048435,0.105512,62,-4.1818,-4.1818,-4.2386,-4.2932,-4.3456,-4.3959,-4.4908,1.5,3,-0.009131,6,0.6,1,L1_one_way
3720,CPRE,L1,MLP,none,86,0,2023Q1,-0.040719,0.09892,62,-1.9234,-1.9234,-2.0044,-2.0849,-2.165,-2.2446,-2.4027,3.2,3,0.986676,19,21.6,1,L1_one_way
3721,CPRE,L1,MLP,none,123,0,2023Q1,-0.029592,0.096144,62,-2.4169,-2.4169,-2.4789,-2.5405,-2.6018,-2.6628,-2.7838,3.0,3,0.982625,20,22.8,1,L1_one_way
3722,CPRE,L1,MLP,none,456,0,2023Q1,-0.055553,0.095599,62,-2.9044,-2.9044,-2.9811,-3.0573,-3.1332,-3.2086,-3.3583,3.16,3,0.98241,21,23.6,1,L1_one_way
3723,CPRE,L1,MLP,none,789,0,2023Q1,-0.037006,0.076256,62,-2.3714,-2.3714,-2.5364,-2.6998,-2.8617,-3.0221,-3.3384,3.26,3,0.981633,20,22.4,1,L1_one_way
3724,CPRE,L1,MLP,none,1024,0,2023Q1,-0.021432,0.068641,62,-3.9592,-3.9592,-4.0426,-4.1256,-4.208,-4.2899,-4.4522,3.18,3,0.985532,22,24.7,1,L1_one_way
3725,CPRE,L1,MLP,none,2024,0,2023Q1,-0.032847,0.112962,62,-2.2666,-2.2666,-2.3193,-2.3718,-2.424,-2.4759,-2.5791,2.94,3,0.981236,19,21.4,1,L1_one_way
3726,CPRE,L1,MLP,none,7,0,2023Q1,-0.041097,0.095408,62,-1.9978,-1.9978,-2.0838,-2.1694,-2.2543,-2.3388,-2.506,3.08,3,0.98389,19,21.4,1,L1_one_way
3727,CPRE,L1,MLP,none,34,0,2023Q1,-0.035686,0.089903,62,-2.5244,-2.5244,-2.6065,-2.688,-2.769,-2.8494,-3.0087,3.1,3,0.979937,19,21.4,1,L1_one_way
3728,CPRE,L1,MLP,none,99,0,2023Q1,-0.057615,0.086659,62,-3.1176,-3.1176,-3.2125,-3.3068,-3.4006,-3.4939,-3.6787,3.22,3,0.991271,18,20.3,1,L1_one_way
3729,CPRE,L1,MLP,none,2026,0,2023Q1,-0.02905,0.113299,62,-2.6175,-2.6175,-2.69,-2.762,-2.8336,-2.9047,-3.0455,2.98,3,0.985641,20,22.5,1,L1_one_way
3610,CPRE,L0,LightGBM,none,86,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,1.0,1,L1_one_way
3611,CPRE,L0,LightGBM,none,123,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,0.9,1,L1_one_way
3612,CPRE,L0,LightGBM,none,456,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,1.0,1,L1_one_way
3613,CPRE,L0,LightGBM,none,789,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,1.0,1,L1_one_way
3614,CPRE,L0,LightGBM,none,1024,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,0.9,1,L1_one_way
3615,CPRE,L0,LightGBM,none,2024,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,1.0,1,L1_one_way
3616,CPRE,L0,LightGBM,none,7,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,1.0,1,L1_one_way
3617,CPRE,L0,LightGBM,none,34,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,0.9,1,L1_one_way
3618,CPRE,L0,LightGBM,none,99,1,2023Q2,0.002,0.092416,62,-0.961,-0.961,-1.0227,-1.0854,-1.149,-1.2135,-1.3452,0.86,3,0.046038,23,0.9,1,L1_one_way
